t_s,width_x_m,width_3d_m,width_norm
7.006999999999999895e-01,8.381286533501969283e-02,1.286331430732751413e-01,4.321949676580059685e-01
7.173833333333333728e-01,8.366183895817941307e-02,1.284781486921110494e-01,4.303621232788763518e-01
7.340666666666666451e-01,8.377792565473346498e-02,1.285979271239235666e-01,4.317709424118139072e-01
7.507500000000000284e-01,8.353543655823764125e-02,1.283608569815001821e-01,4.288281135708451597e-01
7.674333333333333007e-01,8.346530956780728872e-02,1.282882854591907151e-01,4.279770578617389520e-01
7.841166666666666840e-01,8.337423856305598013e-02,1.282086314767953983e-01,4.268718272215531462e-01
8.008000000000000673e-01,8.343995797179182272e-02,1.282617880279719180e-01,4.276693928615512563e-01
8.174833333333333396e-01,8.276722437251160525e-02,1.275938869536124565e-01,4.195051501518398673e-01
8.341666666666667229e-01,8.235048298675240463e-02,1.271767410215807192e-01,4.144476090625291986e-01
8.508499999999999952e-01,8.287363394169505737e-02,1.276959139508131724e-01,4.207965284186293564e-01
8.675333333333333785e-01,8.272917974740487401e-02,1.275576521552701514e-01,4.190434435364669419e-01
8.842166666666666508e-01,8.264749992715270110e-02,1.274750491676456543e-01,4.180521835819502319e-01
9.009000000000000341e-01,8.261625581140574770e-02,1.274396380041580290e-01,4.176730074199726528e-01
9.175833333333333064e-01,8.254944042659861925e-02,1.273701357635923515e-01,4.168621410994978183e-01
9.342666666666666897e-01,8.235723471906972182e-02,1.271817763857963079e-01,4.145295475615257685e-01
9.509499999999999620e-01,8.244943347865790750e-02,1.272792728394034900e-01,4.156484645468192518e-01
9.676333333333333453e-01,8.290132716954468073e-02,1.277297187250102106e-01,4.211326112808820299e-01
9.843166666666667286e-01,8.283875721115241397e-02,1.276573229924618247e-01,4.203732671256361075e-01
1.001000000000000112e+00,8.276489526100641592e-02,1.275992730234235539e-01,4.194768842355147687e-01
1.017683333333333273e+00,8.259969377165032878e-02,1.274262349378727788e-01,4.174720117918729323e-01
1.034366666666666656e+00,8.228101404911850048e-02,1.270959140615266214e-01,4.136045394310497447e-01
1.051050000000000040e+00,8.261610136695402007e-02,1.274359929082576892e-01,4.176711330941021982e-01
1.067733333333333423e+00,8.261737268405425216e-02,1.274293599487736905e-01,4.176865616996875419e-01
1.084416666666666584e+00,8.276018625529388273e-02,1.275799279687644949e-01,4.194197361079354813e-01
1.101099999999999968e+00,8.280147882411179050e-02,1.276196503261770865e-01,4.199208595159197865e-01
1.117783333333333351e+00,8.266840739276737349e-02,1.274888813094298690e-01,4.183059149607690763e-01
1.134466666666666734e+00,8.248948402730990614e-02,1.273205621377120067e-01,4.161345148945376771e-01
1.151150000000000118e+00,8.253686909963700580e-02,1.273687957060768983e-01,4.167095764519054280e-01
1.167833333333333279e+00,8.277943597060963277e-02,1.275986096396443670e-01,4.196533491578838815e-01
1.184516666666666662e+00,8.269078538963681169e-02,1.275113591581892025e-01,4.185774925926797341e-01
1.201200000000000045e+00,8.292573416008852671e-02,1.277423312741795269e-01,4.214288126224335906e-01
1.217883333333333429e+00,8.294134637069267013e-02,1.277631107638956820e-01,4.216182811977265965e-01
1.234566666666666590e+00,8.264711326426726901e-02,1.274654676971851697e-01,4.180474910712047021e-01
1.251249999999999973e+00,8.275047194940465811e-02,1.275708320189048728e-01,4.193018440461730445e-01
1.267933333333333357e+00,8.258651018015128464e-02,1.274039674101279940e-01,4.173120167494087651e-01
1.284616666666666740e+00,8.296895987071711831e-02,1.277818508763183536e-01,4.219533964892854261e-01
1.301300000000000123e+00,7.436070719354642700e-02,1.197110717896836124e-01,3.174843106012915639e-01
1.317983333333333285e+00,8.251029068333154415e-02,1.273382110791604627e-01,4.163870228559653497e-01
1.334666666666666668e+00,8.259362262896224882e-02,1.274200186932496759e-01,4.173983328757554512e-01
1.351350000000000051e+00,8.260830778587618939e-02,1.274278878701693707e-01,4.175765507994683157e-01
1.368033333333333434e+00,8.247386305141390928e-02,1.272947555547683518e-01,4.159449399443435613e-01
1.384716666666666596e+00,8.236639883369828441e-02,1.271859344862817376e-01,4.146407625448820800e-01
1.401399999999999979e+00,8.230129062668517514e-02,1.271278734007197653e-01,4.138506144015191013e-01
1.418083333333333362e+00,8.209205200768626698e-02,1.269236142134628209e-01,4.113113107728915696e-01
1.434766666666666746e+00,8.252357042602267989e-02,1.273556095939826216e-01,4.165481847818286454e-01
1.451450000000000129e+00,8.243467698345061101e-02,1.272685469718240758e-01,4.154693808671190425e-01
1.468133333333333290e+00,8.244993394563948641e-02,1.272952604158974210e-01,4.156545381752365098e-01
1.484816666666666674e+00,8.251117653618067482e-02,1.273400555071813600e-01,4.163977734973383082e-01
1.501500000000000057e+00,8.238637952851024515e-02,1.272143601626080089e-01,4.148832467052214201e-01
1.518183333333333440e+00,8.288742277113275714e-02,1.277123768681298344e-01,4.209638685817082004e-01
1.534866666666666601e+00,8.242325694281293913e-02,1.272550192712806616e-01,4.153307881409337154e-01
1.551549999999999985e+00,8.251501765933252908e-02,1.273450936433145608e-01,4.164443890695695427e-01
1.568233333333333368e+00,8.313614344447425863e-02,1.279404135140680410e-01,4.239823233552701409e-01
1.584916666666666751e+00,8.319119181015574571e-02,1.280477557074872208e-01,4.246503860455794199e-01
1.601600000000000135e+00,8.236822204483346122e-02,1.271958539494115192e-01,4.146628888936099711e-01
1.618283333333333296e+00,8.327280438892864511e-02,1.280800742969729900e-01,4.256408299627262859e-01
