t_s,width_x_m,width_3d_m,width_norm
0.000000000000000000e+00,8.442198883136708965e-02,1.292445952727770131e-01,4.395872430991151769e-01
1.668333333333333474e-02,8.448056607084636349e-02,1.293010908447889684e-01,4.402981319277471384e-01
3.336666666666666947e-02,8.491309942579444714e-02,1.297331602058490463e-01,4.455473231285733693e-01
5.005000000000000421e-02,8.470892369315841108e-02,1.295350728411495123e-01,4.430694622956117823e-01
6.673333333333333894e-02,8.482782456606069443e-02,1.296471549819581959e-01,4.445124340541346530e-01
8.341666666666666674e-02,8.487103410069901654e-02,1.296897086111136743e-01,4.450368216104249597e-01
1.001000000000000084e-01,8.476711248889556849e-02,1.295854040700645804e-01,4.437756370011597951e-01
1.167833333333333362e-01,8.496850096434105382e-02,1.297934502030701487e-01,4.462196718973429066e-01
1.334666666666666779e-01,8.473250990857944531e-02,1.295504159435250657e-01,4.433557027740223644e-01
1.501500000000000057e-01,8.515528120137172419e-02,1.299679944471963944e-01,4.484864223467442401e-01
1.668333333333333335e-01,8.506500960656995791e-02,1.298796811235001514e-01,4.473908932836159758e-01
1.835166666666666613e-01,8.507102207747896383e-02,1.298939833522576026e-01,4.474638601635796409e-01
2.002000000000000168e-01,8.546494076387234351e-02,1.302736402256904624e-01,4.522444267460236089e-01
2.168833333333333446e-01,8.488392372396952323e-02,1.296992044200120375e-01,4.451932490773000128e-01
2.335666666666666724e-01,8.453612235667556929e-02,1.293531709515778061e-01,4.409723586975190512e-01
2.502500000000000280e-01,8.489132993662007465e-02,1.297173713473828982e-01,4.452831302987872997e-01
2.669333333333333558e-01,8.474248545886320372e-02,1.295696567706904334e-01,4.434767652774660451e-01
2.836166666666666836e-01,8.492979364320976665e-02,1.297524501838506761e-01,4.457499228544874459e-01
3.003000000000000114e-01,8.514828973101834508e-02,1.299677495699914920e-01,4.484015744055624419e-01
3.169833333333333392e-01,8.481937753947021985e-02,1.296404819895221328e-01,4.444099215955123472e-01
3.336666666666666670e-01,8.458818304691581580e-02,1.294042067589049883e-01,4.416041631907259291e-01
3.503499999999999948e-01,8.511509988075582900e-02,1.299414808946336986e-01,4.479987849606290040e-01
3.670333333333333226e-01,8.474371316988185687e-02,1.295739224157085867e-01,4.434916646830322495e-01
3.837166666666666504e-01,8.485504120194858890e-02,1.296752204355509919e-01,4.448427330333566410e-01
4.004000000000000337e-01,8.490165747635231019e-02,1.297325117992866317e-01,4.454084645188386982e-01
4.170833333333333615e-01,8.481875226566210069e-02,1.296391268993533630e-01,4.444023333211419846e-01
4.337666666666666893e-01,7.610579713857029693e-02,1.220185992399740182e-01,3.386625866331346435e-01
4.504500000000000171e-01,8.498000591116716684e-02,1.298013908098843427e-01,4.463592950384364655e-01
4.671333333333333449e-01,8.508225761974053114e-02,1.298977106256393732e-01,4.476002138318025403e-01
4.838166666666666726e-01,8.529027264291355603e-02,1.301051766175151669e-01,4.501246679965237307e-01
5.005000000000000560e-01,8.513113523267434868e-02,1.299621763646746087e-01,4.481933887460479160e-01
5.171833333333333282e-01,8.531106388053727452e-02,1.301402728781786422e-01,4.503769888414717593e-01
5.338666666666667115e-01,8.521729175991993310e-02,1.300453930454865126e-01,4.492389776689312275e-01
5.505499999999999838e-01,8.583720752332646420e-02,1.306465101846940313e-01,4.567622272248357262e-01
5.672333333333333671e-01,8.508910260612620458e-02,1.299182565718885185e-01,4.476832840549296866e-01
5.839166666666666394e-01,8.543629088149909401e-02,1.302655722658617454e-01,4.518967339987753906e-01
6.006000000000000227e-01,8.596413602972496903e-02,1.307757028899572127e-01,4.583026217199632213e-01
6.172833333333332950e-01,7.637146932296431934e-02,1.223183848525440931e-01,3.418867636282077460e-01
6.339666666666666783e-01,8.566772173412146030e-02,1.304828777048377408e-01,4.547053608509886158e-01
6.506500000000000616e-01,8.557363625110891991e-02,1.303839962111032480e-01,4.535635467367587492e-01
6.673333333333333339e-01,8.549218989154488968e-02,1.303034569183802727e-01,4.525751200430205290e-01
6.840166666666667172e-01,8.625592612808863358e-02,1.310774049890623683e-01,4.618437636903960364e-01
7.006999999999999895e-01,8.598963691678296328e-02,1.308026204825483152e-01,4.586120985046476251e-01
7.173833333333333728e-01,8.578772783473698205e-02,1.306081932398297507e-01,4.561617455671964083e-01
7.340666666666666451e-01,8.574793252010365352e-02,1.305727573246677486e-01,4.556787927197045174e-01
7.507500000000000284e-01,8.596237681022084187e-02,1.307893483037855242e-01,4.582812719686995551e-01
7.674333333333333007e-01,8.616353232171553023e-02,1.309785094288855312e-01,4.607224796324700389e-01
7.841166666666666840e-01,8.618022775294115201e-02,1.309973198319210608e-01,4.609250940890916581e-01
8.008000000000000673e-01,8.634505613030618587e-02,1.311687845497152005e-01,4.629254384745896123e-01
8.174833333333333396e-01,8.593378278916621871e-02,1.307574061806639487e-01,4.579342571500754633e-01
8.341666666666667229e-01,8.614297160963949040e-02,1.309543573644246228e-01,4.604729564276637266e-01
8.508499999999999952e-01,8.571695118557079440e-02,1.305299527391130532e-01,4.553028056501309817e-01
8.675333333333333785e-01,8.547584649292816472e-02,1.302955892825261863e-01,4.523767778267981376e-01
8.842166666666666508e-01,8.534848952249202148e-02,1.301714409890236679e-01,4.508311835253885902e-01
9.009000000000000341e-01,8.515246480114879724e-02,1.299779531830794199e-01,4.484522427323883176e-01
9.175833333333333064e-01,8.507789911128635363e-02,1.299041774170237584e-01,4.475473193117275872e-01
9.342666666666666897e-01,8.519389816077999056e-02,1.300157208943173437e-01,4.489550747667474528e-01
9.509499999999999620e-01,8.477241408008123758e-02,1.295964089403966180e-01,4.438399767000150153e-01
9.676333333333333453e-01,8.498827215571708171e-02,1.298071861388473414e-01,4.464596135402558175e-01
9.843166666666667286e-01,8.511278443542807937e-02,1.299362486885987378e-01,4.479706848959718601e-01
1.001000000000000112e+00,8.516471026844318892e-02,1.299694444447049846e-01,4.486008527723687744e-01
1.017683333333333273e+00,8.504259756252013913e-02,1.298549792132566438e-01,4.471189024577686966e-01
1.034366666666666656e+00,8.529694744982274646e-02,1.301057767155028855e-01,4.502056729347420627e-01
1.051050000000000040e+00,8.540325971896833845e-02,1.302264399821499163e-01,4.514958703758293335e-01
1.067733333333333423e+00,8.493716608759432907e-02,1.297453692323946861e-01,4.458393942669214849e-01
1.084416666666666584e+00,8.554462736260226574e-02,1.303841617215452942e-01,4.532114971189595276e-01
1.101099999999999968e+00,8.509152591946256283e-02,1.299220479156651953e-01,4.477126931973611779e-01
1.117783333333333351e+00,8.551105432813288498e-02,1.303375900941044774e-01,4.528040573802534774e-01
1.134466666666666734e+00,8.519566011910337244e-02,1.300224584673745076e-01,4.489764577561088932e-01
1.151150000000000118e+00,9.036306636878244092e-02,1.356330791606593367e-01,5.116876986502723046e-01
1.167833333333333279e+00,9.031999597086706744e-02,1.355764292217039313e-01,5.111649996464450174e-01
1.184516666666666662e+00,8.554432761958952192e-02,1.303538363966951497e-01,4.532078594610378652e-01
1.201200000000000045e+00,8.537129419901567928e-02,1.301851528703199812e-01,4.511079393084427291e-01
1.217883333333333429e+00,8.541134844818198957e-02,1.302361065921649463e-01,4.515940345653153831e-01
1.234566666666666590e+00,9.019644156092182508e-02,1.354338077821747310e-01,5.096655529238085514e-01
1.251249999999999973e+00,8.577135680905434434e-02,1.305982540035137418e-01,4.559630680710478612e-01
1.267933333333333357e+00,8.578769041709466414e-02,1.306087758826818823e-01,4.561612914695954424e-01
1.284616666666666740e+00,8.532576482214238034e-02,1.301856088110291965e-01,4.505553983269706131e-01
1.301300000000000123e+00,8.604289286316368912e-02,1.308771953581897018e-01,4.592584085335398858e-01
1.317983333333333285e+00,8.557020445903479322e-02,1.303994357449793640e-01,4.535218987746940655e-01
1.334666666666666668e+00,8.618901270035661533e-02,1.310329005566739924e-01,4.610317075285996768e-01
1.351350000000000051e+00,8.595259494241891396e-02,1.307764214877579489e-01,4.581625599808120675e-01
1.368033333333333434e+00,8.581162402790198929e-02,1.306337068132903678e-01,4.564517479114318932e-01
1.384716666666666596e+00,8.593857765195117571e-02,1.307654542624357430e-01,4.579924472324171658e-01
1.401399999999999979e+00,8.552724242939363508e-02,1.303449156353931326e-01,4.530005149198256809e-01
1.418083333333333362e+00,8.591296695806976969e-02,1.307245647569144908e-01,4.576816378406525221e-01
1.434766666666666746e+00,8.600963354159080199e-02,1.308391416320304201e-01,4.588547759901796530e-01
1.451450000000000129e+00,8.581324031896953031e-02,1.306328420560186054e-01,4.564713630942904277e-01
1.468133333333333290e+00,8.584986722735543641e-02,1.306680606917499099e-01,4.569158644096533717e-01
1.484816666666666674e+00,8.549083098550144810e-02,1.303300738606542886e-01,4.525586284648234203e-01
1.501500000000000057e+00,9.065707760035091045e-02,1.358506288231469961e-01,5.152557961207634429e-01
1.518183333333333440e+00,8.582885534591744303e-02,1.306548035081483428e-01,4.566608658485126759e-01
1.534866666666666601e+00,8.611745618801514013e-02,1.309433268894242275e-01,4.601633032526109002e-01
1.551549999999999985e+00,8.603179284379536274e-02,1.308552207369212406e-01,4.591236995606233218e-01
1.568233333333333368e+00,9.102369059965115250e-02,1.362462995286747858e-01,5.197049830054751851e-01
1.584916666666666751e+00,8.596305347323640600e-02,1.307917572491318348e-01,4.582894838985000496e-01
1.601600000000000135e+00,8.581937475436307583e-02,1.306405688827514122e-01,4.565458101257655055e-01
