frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.013861527,0.000043562,0.015747504,0.010602057,0.004020959,-0.007937835,0.999904275
1,0.033367,2,false,false,0.029481804,-0.001198521,0.030468080,-0.011042655,-0.007983111,0.005293631,-0.999893188
2,0.066733,2,false,false,0.029144252,-0.001114662,0.030455539,-0.011333458,-0.010850694,0.003805549,-0.999869764
3,0.100100,2,false,false,0.028891377,-0.001275432,0.030711468,-0.011296728,-0.011010131,0.005174903,-0.999862194
4,0.133467,2,false,false,0.029611776,-0.001182791,0.030545589,-0.010944114,-0.010988924,0.006495802,-0.999858677
5,0.166833,2,false,false,0.014002618,0.000014350,0.016245076,-0.009825297,-0.011368953,0.005195523,-0.999873638
6,0.200200,2,false,false,0.014091132,-0.000288633,0.016275730,-0.009853014,-0.011366039,0.003305902,-0.999881446
7,0.233567,2,false,false,0.013882072,-0.000382228,0.016302221,-0.009285858,-0.010796548,0.002226421,-0.999896109
8,0.266933,2,false,false,0.013685026,-0.000481114,0.016420722,-0.007868674,-0.010212123,0.003293458,-0.999911547
9,0.300300,2,false,false,0.013382286,-0.000728542,0.016697003,-0.005763067,-0.007914807,0.003694647,-0.999945283
10,0.333667,2,false,false,0.012963274,-0.000882430,0.016908905,-0.004977339,-0.005750918,0.004415064,-0.999961376
11,0.367033,2,false,false,0.012515121,-0.001032159,0.017170288,-0.005582427,-0.005358996,0.006297613,-0.999950290
12,0.400400,2,false,false,0.012645750,-0.001008525,0.017029511,-0.008682018,-0.004099767,0.008024430,-0.999921799
13,0.433767,2,false,false,0.013298314,-0.000868456,0.016600804,-0.011785328,-0.002917352,0.007917794,-0.999894977
14,0.467133,2,false,false,0.013587689,-0.000714886,0.016373456,-0.016119778,-0.003032963,0.007353080,-0.999838531
15,0.500500,2,false,false,0.006535689,-0.009882717,0.011210050,-0.018410001,-0.003525156,0.004397332,-0.999814630
16,0.533867,2,false,false,0.013910033,-0.014981585,0.017185437,0.019531816,0.002593776,-0.002797040,0.999801993
17,0.567233,2,false,false,0.012386663,-0.016524136,0.018476440,0.020456120,0.001360604,-0.001200022,0.999789178
18,0.600600,2,false,false,0.012195552,-0.016654089,0.018879043,0.022286387,0.000434101,-0.000551923,0.999751389
19,0.633967,2,false,false,0.011716932,-0.018246818,0.019719878,0.024017399,0.001594570,-0.001752801,0.999708772
20,0.667333,2,false,false,0.011047580,-0.020772738,0.020790629,0.024747249,0.002845139,-0.003168673,0.999684691
21,0.700700,2,false,false,0.010924417,-0.024165694,0.021898955,0.025590234,0.004296818,-0.005082007,0.999650419
22,0.734067,2,false,false,0.011350455,-0.028916001,0.022863468,0.026091848,0.005491340,-0.005199425,0.999630988
23,0.767433,2,false,false,0.023437379,-0.046911687,0.027311031,-0.026432026,-0.004920850,0.003929623,-0.999630809
24,0.800800,2,false,false,0.010745074,-0.049033467,0.018333163,0.029932715,0.006324471,-0.003076558,0.999527216
25,0.834167,2,false,false,0.011183857,-0.052862346,0.017166406,0.033385243,0.007397592,-0.002359413,0.999412417
26,0.867533,2,false,false,0.023879202,-0.058746312,0.025035514,-0.037235100,-0.007587283,0.002234613,-0.999275267
27,0.900900,2,false,false,0.010061584,-0.060216963,0.016232602,0.038775504,0.009550693,-0.001627650,0.999201000
28,0.934267,2,false,false,0.009865813,-0.062707737,0.014770345,0.041921373,0.011222773,-0.001485435,0.999056816
29,0.967633,2,false,false,0.010173205,-0.064549431,0.014092165,0.044525463,0.011724215,0.000645445,0.998939276
30,1.001000,2,false,false,0.010768642,-0.065296419,0.013746412,0.046018768,0.011473536,0.001946812,0.998872817
31,1.034367,2,false,false,0.011271458,-0.065717146,0.014473897,0.045662012,0.012980869,0.002176774,0.998870313
32,1.067733,2,false,false,0.013106256,-0.066049092,0.014405594,-0.044879381,-0.015356960,-0.002393836,-0.998871505
33,1.101100,2,false,false,0.014490755,-0.065829970,0.014678904,-0.043043066,-0.017000051,-0.003984423,-0.998920619
