Frame,GT_X,GT_Y,GT_Z,Pred_SS_X,Pred_SS_Y,Pred_SS_Z,Pred_OL_X,Pred_OL_Y,Pred_OL_Z
378,0.47839,-0.17295,0.04015,0.48000,-0.17426,0.04002,0.31061,0.06160,0.03091
384,0.48035,-0.17469,0.03759,0.48126,-0.17638,0.03773,0.31130,0.06075,0.03089
390,0.48052,-0.17544,0.03637,0.48060,-0.17685,0.03695,0.31150,0.06072,0.03033
396,0.47987,-0.17364,0.03360,0.48042,-0.17668,0.03451,0.31201,0.06043,0.03041
402,0.47887,-0.17067,0.03114,0.48167,-0.17498,0.03131,0.31303,0.06053,0.03035
408,0.47945,-0.16786,0.02953,0.47955,-0.17128,0.02972,0.31377,0.06010,0.02994
414,0.47962,-0.16869,0.02836,0.48107,-0.17393,0.02811,0.31420,0.06053,0.02964
420,0.48032,-0.17008,0.02779,0.48003,-0.17217,0.02769,0.31383,0.06137,0.02974
426,0.48055,-0.17145,0.02754,0.48025,-0.17422,0.02702,0.31212,0.06199,0.02933
432,0.48172,-0.17197,0.02706,0.48001,-0.17484,0.02690,0.31139,0.06242,0.02900
438,0.48150,-0.17201,0.02715,0.47979,-0.17611,0.02717,0.30940,0.06336,0.02895
444,0.48049,-0.17245,0.02714,0.47999,-0.17481,0.02704,0.30903,0.06466,0.02879
450,0.47892,-0.17287,0.02696,0.47732,-0.17614,0.02709,0.30728,0.06533,0.02874
456,0.47803,-0.17167,0.02774,0.47676,-0.17494,0.02757,0.30623,0.06495,0.02856
462,0.47581,-0.17085,0.02856,0.47454,-0.17423,0.02831,0.30548,0.06493,0.02864
468,0.47479,-0.17053,0.03232,0.47267,-0.17356,0.03171,0.30674,0.06622,0.02931
474,0.47346,-0.17023,0.03979,0.47290,-0.17345,0.03915,0.30904,0.06472,0.03056
480,0.47528,-0.16935,0.04953,0.47538,-0.16897,0.04935,0.30991,0.06527,0.03112
486,0.47646,-0.17041,0.06049,0.47557,-0.17211,0.05988,0.30903,0.06719,0.03233
492,0.47859,-0.17078,0.07246,0.47779,-0.17462,0.07190,0.30791,0.06681,0.03400
498,0.47918,-0.17087,0.08165,0.47806,-0.17449,0.08149,0.30480,0.06712,0.03587
504,0.47988,-0.16925,0.08622,0.47916,-0.17249,0.08647,0.30456,0.06798,0.03795
510,0.47970,-0.16348,0.08682,0.47823,-0.16824,0.08789,0.30435,0.06799,0.04042
516,0.47898,-0.15223,0.08557,0.48020,-0.15616,0.08650,0.30334,0.06943,0.04231
522,0.47947,-0.13491,0.08538,0.48072,-0.13737,0.08606,0.30085,0.07287,0.04395
528,0.47951,-0.11263,0.08522,0.48135,-0.11466,0.08637,0.29757,0.07674,0.04599
534,0.47947,-0.08819,0.08411,0.48124,-0.08944,0.08454,0.29515,0.08114,0.04717
540,0.47838,-0.06299,0.08196,0.47911,-0.06405,0.08268,0.29495,0.08310,0.04804
546,0.47680,-0.04078,0.07806,0.47603,-0.03865,0.07877,0.29251,0.08620,0.04901
552,0.47404,-0.02834,0.07302,0.47473,-0.02752,0.07415,0.29229,0.08772,0.05039
558,0.47154,-0.01907,0.06767,0.47190,-0.01723,0.06801,0.29057,0.09108,0.05120
564,0.46856,-0.01282,0.06217,0.46963,-0.01252,0.06335,0.28644,0.09468,0.05253
570,0.46686,-0.00771,0.05656,0.46749,-0.00600,0.05687,0.28381,0.09844,0.05353
576,0.46468,-0.00371,0.05196,0.46428,-0.00453,0.05256,0.28273,0.09866,0.05472
582,0.46293,-0.00132,0.04909,0.46428,-0.00009,0.04941,0.28097,0.10136,0.05584
588,0.46214,-0.00057,0.04511,0.46331,0.00020,0.04532,0.28049,0.10274,0.05704
594,0.46079,-0.00051,0.04162,0.46192,-0.00038,0.04231,0.27890,0.10403,0.05766
600,0.45943,-0.00025,0.03768,0.46168,0.00207,0.03872,0.27661,0.10670,0.05852
606,0.45870,-0.00148,0.03522,0.46091,-0.00106,0.03533,0.27585,0.10595,0.05994
612,0.45937,-0.00208,0.03531,0.46080,-0.00153,0.03572,0.27704,0.10526,0.06146
618,0.45976,-0.00170,0.03477,0.46020,-0.00109,0.03537,0.27563,0.10630,0.06352
624,0.45938,-0.00167,0.03451,0.46149,-0.00328,0.03480,0.27427,0.10562,0.06607
630,0.45833,-0.00109,0.03438,0.46009,-0.00196,0.03434,0.27487,0.10396,0.06862
636,0.45693,0.00015,0.03379,0.45861,0.00122,0.03393,0.27295,0.10351,0.07031
642,0.45608,0.00168,0.03357,0.45807,0.00205,0.03409,0.27059,0.09999,0.07115
648,0.45633,0.00199,0.03320,0.45855,0.00263,0.03294,0.26736,0.09626,0.07217
654,0.45671,0.00249,0.03285,0.45697,0.00199,0.03275,0.26651,0.08931,0.07333
660,0.45661,0.00282,0.03334,0.45791,0.00149,0.03322,0.26619,0.08548,0.07432
666,0.45671,0.00263,0.03346,0.45839,0.00152,0.03367,0.26491,0.08013,0.07470
672,0.45657,0.00298,0.03359,0.45811,0.00285,0.03397,0.26341,0.07548,0.07601
678,0.45639,0.00363,0.03328,0.45766,0.00571,0.03328,0.26213,0.07166,0.07672
684,0.45564,0.00417,0.03392,0.45414,0.00177,0.03412,0.26134,0.06750,0.07718
690,0.45418,0.00569,0.03427,0.45733,0.00476,0.03441,0.26025,0.06260,0.07766
696,0.45024,0.00750,0.03448,0.45079,0.00619,0.03586,0.25888,0.05784,0.07810
702,0.44280,0.00649,0.03457,0.44034,0.00683,0.03544,0.25720,0.05367,0.07822
708,0.43328,0.00674,0.03691,0.43288,0.00693,0.03834,0.25611,0.04853,0.07892
714,0.42347,0.00726,0.04165,0.42120,0.00757,0.04148,0.25556,0.04478,0.07990
720,0.41253,0.00814,0.04624,0.41224,0.00962,0.04630,0.25446,0.04059,0.08096
726,0.40036,0.01061,0.05164,0.39808,0.01211,0.05194,0.25357,0.03506,0.08199
732,0.38552,0.01131,0.05507,0.38732,0.01576,0.05531,0.25239,0.03424,0.08306
738,0.36901,0.01176,0.05762,0.37114,0.01423,0.05762,0.25274,0.03223,0.08391
744,0.35194,0.01385,0.06059,0.35276,0.01430,0.06127,0.25211,0.03087,0.08435
750,0.33510,0.01224,0.06126,0.33579,0.01033,0.06228,0.25245,0.02709,0.08425
756,0.31859,0.00986,0.06060,0.32027,0.00967,0.06114,0.25165,0.02426,0.08442
762,0.30365,0.00758,0.05914,0.30295,0.00602,0.05958,0.25102,0.02068,0.08491
768,0.29075,0.00584,0.05630,0.29027,0.00790,0.05591,0.25097,0.01576,0.08537
774,0.27888,0.00424,0.05100,0.28028,0.00494,0.05159,0.25063,0.01623,0.08572
780,0.27057,0.00259,0.04467,0.26984,0.00278,0.04546,0.24981,0.01374,0.08637
786,0.26497,0.00147,0.03836,0.26649,0.00118,0.03879,0.25037,0.01025,0.08670
792,0.26249,0.00087,0.03221,0.26263,0.00184,0.03267,0.25021,0.00925,0.08637
798,0.26236,0.00004,0.03047,0.26346,0.00159,0.03017,0.24980,0.00878,0.08611
804,0.26202,-0.00047,0.02963,0.26186,0.00085,0.02958,0.24972,0.00679,0.08669
810,0.26212,-0.00092,0.02960,0.26184,-0.00149,0.02937,0.24848,0.00439,0.08768
816,0.26200,-0.00082,0.02981,0.26101,-0.00071,0.02965,0.24814,0.00327,0.08816
822,0.26198,-0.00093,0.02964,0.26002,-0.00086,0.02963,0.24863,0.00133,0.08856
828,0.26191,-0.00088,0.02967,0.26032,-0.00084,0.02944,0.24919,-0.00153,0.08962
834,0.26190,-0.00091,0.02974,0.26024,-0.00069,0.02934,0.24832,-0.00339,0.09036
840,0.26193,-0.00096,0.02972,0.26248,-0.00039,0.02946,0.25041,-0.00469,0.09066
846,0.26161,-0.00081,0.02961,0.26122,-0.00054,0.02933,0.25242,-0.00593,0.08974
852,0.26092,-0.00106,0.02912,0.26010,0.00042,0.02910,0.25395,-0.00762,0.08996
