t_s,width_x_m,width_3d_m,width_norm
0.000000000000000000e+00,8.551957968168205637e-02,1.303442912366135353e-01,4.529075204087628093e-01
1.668333333333333474e-02,8.553652568205394324e-02,1.303630567527889472e-01,4.531131757530818538e-01
3.336666666666666947e-02,8.548584964393210472e-02,1.303136654160705343e-01,4.524981752904381760e-01
5.005000000000000421e-02,8.533598316642437842e-02,1.301578694075407605e-01,4.506794073595191685e-01
6.673333333333333894e-02,8.561420939897657068e-02,1.304380894341580222e-01,4.540559393079681150e-01
8.341666666666666674e-02,8.542130843701295495e-02,1.302462547129157600e-01,4.517149082161766582e-01
1.001000000000000084e-01,8.547224345987339267e-02,1.302970999338554370e-01,4.523330516974926052e-01
1.167833333333333362e-01,8.528038295216452958e-02,1.301041452348627170e-01,4.500046474777248950e-01
1.334666666666666779e-01,8.509134091702452718e-02,1.299133851222142866e-01,4.477104480221423266e-01
1.501500000000000057e-01,8.518559891447072263e-02,1.300083419553542119e-01,4.488543557581398113e-01
1.668333333333333335e-01,8.519482129466612874e-02,1.300186743141812928e-01,4.489662778478898941e-01
1.835166666666666613e-01,8.512677242207150607e-02,1.299508144909997109e-01,4.481404420154309065e-01
2.002000000000000168e-01,8.541280456035046931e-02,1.302295235688354647e-01,4.516117058294960018e-01
2.168833333333333446e-01,8.515232311888448757e-02,1.299812361681530470e-01,4.484505232874331226e-01
2.335666666666666724e-01,8.523615051594371494e-02,1.300577442902470238e-01,4.494678460672780762e-01
2.502500000000000280e-01,8.511620281034154578e-02,1.299418943836852802e-01,4.480121700284168118e-01
2.669333333333333558e-01,8.501849118441953679e-02,1.298455361589848089e-01,4.468263493254798213e-01
2.836166666666666836e-01,8.493525048070194039e-02,1.297617951972045713e-01,4.458161466104604287e-01
3.003000000000000114e-01,8.488581017626919967e-02,1.297152769394952498e-01,4.452161429158883466e-01
3.169833333333333392e-01,8.510522452971364116e-02,1.299460803155436939e-01,4.478789384673985685e-01
3.336666666666666670e-01,8.491925622113077887e-02,1.297503612849287280e-01,4.456220415185774275e-01
3.503499999999999948e-01,8.487423086111295367e-02,1.297024064691104650e-01,4.450756172465164529e-01
3.670333333333333226e-01,8.533560696588968209e-02,1.301462919690881959e-01,4.506748418190495431e-01
3.837166666666666504e-01,8.505093288069026647e-02,1.298762231889117602e-01,4.472200592316780132e-01
4.004000000000000337e-01,8.482403990420317452e-02,1.296524633930006831e-01,4.444665036917860856e-01
4.170833333333333615e-01,8.509382755516031738e-02,1.299211511152826570e-01,4.477406256694212994e-01
4.337666666666666893e-01,8.507805603559770447e-02,1.298967336917037918e-01,4.475492237329818379e-01
4.504500000000000171e-01,8.501350978372768097e-02,1.298380962937790983e-01,4.467658954335883559e-01
4.671333333333333449e-01,8.500849710650121294e-02,1.298273112268803764e-01,4.467050619721020799e-01
