t_s,width_x_m,width_3d_m,width_norm
0.000000000000000000e+00,8.594365751898980221e-02,1.307749447516206587e-01,4.580540961042451897e-01
1.668333333333333474e-02,8.622733632698154072e-02,1.310679020655807492e-01,4.614968000847274321e-01
3.336666666666666947e-02,8.601210478087334410e-02,1.308551132174498866e-01,4.588847667581716361e-01
5.005000000000000421e-02,8.575025367815070076e-02,1.305885752744094797e-01,4.557069621134793858e-01
6.673333333333333894e-02,8.521567839235183461e-02,1.300432122971787174e-01,4.492193979654348635e-01
8.341666666666666674e-02,8.531151983186796572e-02,1.301465282115741862e-01,4.503825222314073451e-01
1.001000000000000084e-01,8.571749252597363200e-02,1.305522815469594144e-01,4.553093753152139822e-01
1.167833333333333362e-01,8.557475819227919334e-02,1.304084342157371401e-01,4.535771625276601160e-01
1.334666666666666779e-01,8.481843252017506884e-02,1.296283411920094442e-01,4.443984529147460005e-01
1.501500000000000057e-01,8.487288345051133276e-02,1.296900347071257842e-01,4.450592651761083873e-01
1.668333333333333335e-01,8.572795077758366133e-02,1.305716454843130481e-01,4.554362958444618803e-01
1.835166666666666613e-01,8.454799394998685491e-02,1.293727618668590040e-01,4.411164314318792856e-01
2.002000000000000168e-01,8.501731439760462639e-02,1.298436213651229798e-01,4.468120679320949917e-01
2.168833333333333446e-01,8.471112731981381150e-02,1.295389975052223808e-01,4.430962053375462339e-01
2.335666666666666724e-01,8.441003339035207942e-02,1.292348672940170640e-01,4.394421527955349460e-01
2.502500000000000280e-01,8.444205604347126970e-02,1.292669584636082503e-01,4.398307772265930837e-01
2.669333333333333558e-01,8.431535480931312554e-02,1.291441820963231957e-01,4.382931408897223768e-01
2.836166666666666836e-01,8.444524708757200626e-02,1.292705357583878445e-01,4.398695034899515188e-01
3.003000000000000114e-01,8.506538338626390416e-02,1.298912548370833586e-01,4.473954294449503100e-01
3.169833333333333392e-01,8.476772488466854938e-02,1.296045503788268161e-01,4.437830689886959612e-01
3.336666666666666670e-01,8.471123995222051839e-02,1.295506076637985837e-01,4.430975722356859103e-01
3.503499999999999948e-01,8.471306126107158718e-02,1.295527802175900356e-01,4.431196754984416120e-01
3.670333333333333226e-01,8.462761096365900571e-02,1.294629786830901463e-01,4.420826573259588055e-01
3.837166666666666504e-01,8.463195529460840194e-02,1.294580908362684135e-01,4.421353797889369108e-01
4.004000000000000337e-01,8.474436975569654695e-02,1.295623772438226629e-01,4.434996329574823482e-01
4.170833333333333615e-01,8.458711599355978050e-02,1.294010637938554364e-01,4.415912135140749872e-01
4.337666666666666893e-01,8.434905830048800013e-02,1.291731570270443774e-01,4.387021638408737934e-01
4.504500000000000171e-01,8.442715091191538290e-02,1.292490486754974965e-01,4.396498897077109613e-01
4.671333333333333449e-01,8.424375683139576076e-02,1.290672234172429711e-01,4.374242333907252256e-01
