frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.004791629,0.005985667,0.007589157,0.010442922,-0.012501869,-0.011466136,0.999801576
1,0.033367,2,false,false,0.006040214,0.007636882,0.005176357,-0.010338768,0.012169332,0.012024452,-0.999800205
2,0.066733,2,false,false,0.004804244,0.007260541,0.005671921,-0.009534015,0.011401637,0.014905489,-0.999778509
3,0.100100,2,false,false,0.004874586,0.002936587,0.007803823,-0.009572813,0.010614255,0.016638333,-0.999759436
4,0.133467,2,false,false,0.004681733,0.002637151,0.007963158,-0.009569908,0.008313137,0.016859792,-0.999777555
5,0.166833,2,false,false,0.005163316,0.002934156,0.007826898,-0.009064985,0.006803501,0.016410083,-0.999801159
6,0.200200,2,false,false,0.006040307,0.003617595,0.007294649,-0.010659971,0.004831968,0.015039221,-0.999818385
7,0.233567,2,false,false,0.006345975,0.003811514,0.007426470,-0.010643812,0.004392865,0.016546156,-0.999796867
8,0.266933,2,false,false,0.006777238,0.003338237,0.007420484,-0.009448397,0.004318802,0.018153289,-0.999781251
9,0.300300,2,false,false,0.006754950,0.002980968,0.007425318,-0.009246118,0.003270336,0.019469963,-0.999762416
10,0.333667,2,false,false,0.006461878,0.002846228,0.007573103,-0.007600758,0.002425023,0.022844506,-0.999707222
11,0.367033,2,false,false,0.005716681,0.002330249,0.007974558,-0.007168377,0.001382911,0.026344251,-0.999626279
12,0.400400,2,false,false,0.002533027,0.000969843,0.007858365,-0.006187921,0.002768902,0.030945953,-0.999498129
13,0.433767,2,false,false,0.003072691,0.001227171,0.008882456,-0.005836019,0.007235470,0.034769367,-0.999352157
14,0.467133,2,false,false,0.001045528,0.002035104,0.006717091,0.004387071,-0.011359981,-0.037033517,0.999239862
15,0.500500,2,false,false,0.000984296,0.001434976,0.007298152,0.002921256,-0.013593090,-0.038303807,0.999169469
16,0.533867,2,false,false,0.000372722,0.000728753,0.007503764,0.001184896,-0.017054949,-0.037433621,0.999152899
17,0.567233,2,false,false,-0.000238703,-0.000155997,0.007341239,0.001177087,-0.019406436,-0.036343463,0.999150276
18,0.600600,2,false,false,-0.000759445,-0.001239719,0.006614089,-0.000964224,-0.018464677,-0.034737952,0.999225438
19,0.633967,2,false,false,-0.001003854,-0.002628593,0.005559494,0.000115225,-0.016988480,-0.031587481,0.999356627
20,0.667333,2,false,false,-0.000666187,-0.004886994,0.004615551,0.003268282,-0.014716005,-0.024998493,0.999573827
21,0.700700,2,false,false,0.006817966,-0.014453729,0.013388208,-0.006736247,0.014037722,0.019799564,-0.999682784
22,0.734067,2,false,false,0.008714354,-0.014095392,0.014490952,0.011734702,-0.011726485,-0.015473817,0.999742687
23,0.767433,2,false,false,0.009306645,-0.017273478,0.015810406,0.014574031,-0.007598928,-0.010902120,0.999805450
24,0.800800,2,false,false,0.010062575,-0.020622427,0.015875515,0.017308732,-0.004633945,-0.007468357,0.999811590
25,0.834167,2,false,false,0.010035718,-0.023889886,0.015177083,0.018905539,-0.003689986,-0.004914081,0.999802411
26,0.867533,2,false,false,0.011225033,-0.028867930,0.014359722,-0.022005180,0.002552785,0.003931673,-0.999746919
27,0.900900,2,false,false,0.009625368,-0.031246476,0.010927048,0.026293799,-0.001492391,-0.004188169,0.999644458
28,0.934267,2,false,false,0.010246384,-0.036423370,0.009567157,-0.030216701,0.000044520,0.004800508,-0.999531865
29,0.967633,2,false,false,0.008874929,-0.041504338,0.006135147,-0.033738181,-0.000627240,0.004849699,-0.999418795
30,1.001000,2,false,false,0.008997775,-0.050094634,0.002588395,0.036790125,0.000401723,-0.003845312,0.999315560
31,1.034367,2,false,false,0.006705363,-0.054316420,-0.002616828,0.040675011,0.000041223,-0.003964062,0.999164581
32,1.067733,2,false,false,0.007024627,-0.059208136,-0.002813649,0.044121742,0.000944215,-0.004108740,0.999017298
33,1.101100,2,false,false,0.005865368,-0.064244092,-0.004084762,0.047448151,0.001383157,-0.004053199,0.998864591
34,1.134467,2,false,false,0.004481090,-0.069093779,-0.005082313,0.050887182,0.000651747,-0.003541303,0.998697937
35,1.167833,2,false,false,0.004086914,-0.073348291,-0.006429804,0.054275978,0.000765170,-0.000938306,0.998525262
36,1.201200,2,false,false,0.003620415,-0.076658800,-0.007916079,0.058280643,0.000464439,0.001621114,0.998298824
37,1.234567,2,false,false,0.003123647,-0.079638705,-0.008470970,0.061273780,-0.000323364,0.003478769,0.998114884
38,1.267933,2,false,false,0.001530878,-0.082701020,-0.009705937,-0.064097770,-0.000536334,-0.003832332,-0.997936130
39,1.301300,2,false,false,0.001332422,-0.084247470,-0.010200484,-0.065126404,-0.002827576,-0.003687466,-0.997866273
40,1.334667,2,false,false,0.001059569,-0.085662000,-0.010337806,-0.064320132,-0.003750256,-0.003659110,-0.997915626
41,1.368033,2,false,false,0.000426825,-0.086984187,-0.010669049,-0.064558223,-0.002797497,-0.003437805,-0.997904122
42,1.401400,2,false,false,-0.000152667,-0.087980643,-0.011069004,-0.065759271,-0.002111403,-0.004551221,-0.997822940
43,1.434767,2,false,false,-0.000492959,-0.088725373,-0.011826872,-0.066345185,-0.002067374,-0.005986160,-0.997776628
44,1.468133,2,false,false,-0.000362176,-0.089227356,-0.011913353,-0.065951109,-0.002988030,-0.007303797,-0.997791648
45,1.501500,2,false,false,0.003302530,-0.086597346,-0.007298301,0.066087350,0.003768609,0.007410151,0.997779250
46,1.534867,2,false,false,0.003673156,-0.086440839,-0.007013191,0.065675169,0.004863765,0.007639389,0.997799993
47,1.568233,2,false,false,0.003758258,-0.086348251,-0.006915809,0.065850735,0.006335982,0.008287826,0.997775018
48,1.601600,2,false,false,0.003897737,-0.086355992,-0.006905558,0.065991029,0.006326116,0.009494532,0.997754991
49,1.634967,2,false,false,0.004511412,-0.085950896,-0.006562430,0.066323549,0.006123138,0.010337301,0.997725904
50,1.668333,2,false,false,0.005267530,-0.085486822,-0.005966173,0.065768443,0.007142813,0.010986460,0.997748852
51,1.701700,2,false,false,0.005950096,-0.084934965,-0.005262014,0.065162428,0.008267754,0.011023232,0.997779548
52,1.735067,2,false,false,0.006449573,-0.084530897,-0.004873066,-0.063510105,-0.008686544,-0.010793725,-0.997885048
53,1.768433,2,false,false,0.006880814,-0.084230743,-0.004212537,-0.062730543,-0.009436803,-0.010794923,-0.997927547
54,1.801800,2,false,false,0.007719614,-0.083607487,-0.003544614,-0.062510550,-0.009934284,-0.010437612,-0.997940361
55,1.835167,2,false,false,0.008516351,-0.082987554,-0.002811837,-0.061691485,-0.010867078,-0.010135378,-0.997984707
56,1.868533,2,false,false,0.009478691,-0.082320414,-0.002031295,-0.061072215,-0.011592588,-0.010052053,-0.998015463
57,1.901900,2,false,false,0.010125693,-0.081952862,-0.001604003,-0.060406357,-0.011119925,-0.010354616,-0.998058259
58,1.935267,2,false,false,0.011035412,-0.082120672,-0.000860224,-0.060093500,-0.011088352,-0.011563704,-0.998064220
59,1.968633,2,false,false,0.012110135,-0.082682520,0.000154686,-0.060386188,-0.011807123,-0.011835264,-0.998035133
60,2.002000,2,false,false,0.012111239,-0.083805688,0.000602623,0.059882864,0.013298917,0.011805845,0.998047054
61,2.035367,2,false,false,0.012320235,-0.084392056,0.001858139,0.059861105,0.014386486,0.011273285,0.998039484
62,2.068733,2,false,false,0.012772461,-0.084535673,0.002919887,0.059627555,0.015209533,0.011371084,0.998040080
63,2.102100,2,false,false,0.013082798,-0.084620379,0.004202038,0.059003003,0.016716465,0.012174061,0.998043656
64,2.135467,2,false,false,0.013660645,-0.084899172,0.005780146,0.058815133,0.018458638,0.012150495,0.998024344
65,2.168833,2,false,false,0.015602078,-0.085411876,0.007955944,0.058104672,0.020483322,0.012764884,0.998018742
66,2.202200,2,false,false,0.018239373,-0.086138658,0.010362410,0.058108702,0.021533076,0.013334744,0.997988999
67,2.235567,2,false,false,0.021362426,-0.087140329,0.012701401,-0.058146004,-0.023033164,-0.013836447,-0.997946441
68,2.268933,2,false,false,0.023002177,-0.087635323,0.014015485,-0.058178991,-0.025755808,-0.014118108,-0.997874081
69,2.302300,2,false,false,0.025289208,-0.088299051,0.015619574,-0.057871662,-0.027996534,-0.013825269,-0.997835636
70,2.335667,2,false,false,0.027640671,-0.089002982,0.017628757,-0.057181440,-0.030534098,-0.014241198,-0.997795165
71,2.369033,2,false,false,0.030563548,-0.089633115,0.019363537,-0.057010658,-0.033335671,-0.014836461,-0.997706592
72,2.402400,2,false,false,0.033257525,-0.090261623,0.021131461,-0.057101246,-0.037524048,-0.016222555,-0.997531116
73,2.435767,2,false,false,0.035807107,-0.090662442,0.023173189,-0.057454981,-0.041775353,-0.018316971,-0.997305512
74,2.469133,2,false,false,0.037994821,-0.091044426,0.025036555,-0.057805791,-0.045117479,-0.020825388,-0.997090459
75,2.502500,2,false,true,0.038529743,-0.090715289,0.026464099,0.057995405,0.049170434,0.024351954,0.996807814
76,2.535867,2,false,false,0.039868705,-0.090664491,0.027812866,0.058503803,0.052297480,0.027506782,0.996536851
77,2.569233,2,false,false,0.040574875,-0.090649843,0.029442187,0.058268726,0.054076333,0.030806871,0.996359110
78,2.602600,2,false,false,0.041193157,-0.090593666,0.031591378,0.058156550,0.056245506,0.032449268,0.996193409
79,2.635967,2,false,false,0.041380487,-0.090673432,0.033590525,0.057639237,0.058763783,0.032686632,0.996070385
80,2.669333,2,false,false,0.041598383,-0.090456404,0.035997711,0.055936761,0.060930155,0.033014268,0.996026456
81,2.702700,2,false,false,0.041255221,-0.090227008,0.038813215,0.054677308,0.062466465,0.032926746,0.996004164
82,2.736067,2,false,false,0.041280720,-0.089732587,0.041342616,-0.054459002,-0.063455209,-0.032916036,-0.995953918
83,2.769433,2,false,false,0.040817715,-0.089731470,0.044332564,-0.053583886,-0.065373786,-0.034056321,-0.995839000
84,2.802800,2,false,false,0.040241219,-0.089662217,0.047425721,-0.053100202,-0.066619270,-0.035136439,-0.995744824
85,2.836167,2,false,false,0.039763320,-0.089866214,0.051072273,-0.052513782,-0.067484252,-0.036098529,-0.995683193
86,2.869533,2,false,false,0.039354648,-0.089935549,0.055154517,-0.051598147,-0.068705656,-0.036806934,-0.995621681
87,2.902900,2,false,false,0.038582727,-0.090208709,0.059512902,-0.050527245,-0.069929339,-0.037092347,-0.995580792
88,2.936267,2,false,false,0.037955705,-0.090673275,0.063810401,-0.049756352,-0.071352243,-0.037191123,-0.995514989
89,2.969633,2,false,false,0.037447717,-0.091483742,0.067790836,-0.048663057,-0.072356462,-0.036680214,-0.995515466
90,3.003000,2,false,true,0.037321199,-0.092519686,0.070033185,0.047480781,0.073802687,0.036860298,0.995459795
91,3.036367,2,false,false,0.036827989,-0.093376942,0.073488697,0.046964303,0.075303480,0.037380550,0.995352507
92,3.069733,2,false,false,0.036515377,-0.094173633,0.076880693,0.046581548,0.076142445,0.038918722,0.995247602
93,3.103100,2,false,false,0.036716584,-0.094806626,0.079965904,0.046660863,0.076435700,0.040580373,0.995155096
94,3.136467,2,false,false,0.036817383,-0.095453098,0.083375536,0.046761271,0.077618450,0.041978952,0.995000780
95,3.169833,2,false,false,0.036613770,-0.096677303,0.087113060,0.047503632,0.079567425,0.042549040,0.994787455
96,3.203200,2,false,false,0.036174837,-0.098178111,0.091605648,0.047480252,0.081104197,0.043373745,0.994628787
97,3.236567,2,false,false,0.035464555,-0.099225082,0.096200041,-0.047000244,-0.081872120,-0.044222586,-0.994551361
98,3.269933,2,false,false,0.035586741,-0.100270301,0.099805824,-0.047090188,-0.082067102,-0.044966545,-0.994497657
99,3.303300,2,false,false,0.035234816,-0.101364672,0.103995249,-0.047381982,-0.083038256,-0.045496445,-0.994379044
100,3.336667,2,false,false,0.035262603,-0.102237277,0.107976027,-0.047511071,-0.084382229,-0.046483219,-0.994214058
101,3.370033,2,false,false,0.035329033,-0.103240959,0.113151394,-0.047512200,-0.084872693,-0.047184329,-0.994139254
102,3.403400,2,false,false,0.035163239,-0.104130715,0.118030898,-0.047127716,-0.085946128,-0.047536749,-0.994048595
103,3.436767,2,false,false,0.035061833,-0.105526291,0.123439074,-0.046933305,-0.087859057,-0.047673654,-0.993883967
104,3.470133,2,false,false,0.035124619,-0.106669150,0.129085943,-0.046302017,-0.088824458,-0.048733100,-0.993776321
105,3.503500,2,false,true,0.035488449,-0.107844770,0.133616820,0.045993086,0.089017935,0.050619300,0.993679106
106,3.536867,2,false,false,0.036167610,-0.109156176,0.137921572,0.046176430,0.089694470,0.052307025,0.993522346
107,3.570233,2,false,false,0.036625817,-0.110308841,0.142457291,0.046819344,0.090813689,0.054103389,0.993294418
108,3.603600,2,false,false,0.037260473,-0.111336723,0.146805659,0.047944814,0.091682062,0.055336766,0.993092954
109,3.636967,2,false,false,0.037821140,-0.112282701,0.151546448,0.048402533,0.092822455,0.056896392,0.992876709
110,3.670333,2,false,false,0.038183078,-0.113397695,0.156028703,0.048511855,0.093551315,0.058146961,0.992730439
111,3.703700,2,false,false,0.038215328,-0.114397004,0.160801589,0.048906777,0.093522869,0.058135994,0.992714405
112,3.737067,2,false,false,0.037566394,-0.115669049,0.166135415,-0.048467483,-0.094157226,-0.057958242,-0.992686391
113,3.770433,2,false,false,0.038008034,-0.116552703,0.170974016,-0.048023921,-0.095406003,-0.057289399,-0.992627501
114,3.803800,2,false,false,0.038454983,-0.117384493,0.175367504,-0.047915533,-0.096139118,-0.056405477,-0.992612660
115,3.837167,2,false,false,0.038895052,-0.118211702,0.179996714,-0.048124544,-0.096650943,-0.055235583,-0.992618620
116,3.870533,2,false,false,0.039276212,-0.119004846,0.183861837,-0.048362464,-0.097033165,-0.054381989,-0.992616892
117,3.903900,2,false,false,0.039890975,-0.119733296,0.187842548,-0.048105374,-0.097899199,-0.054606043,-0.992532015
118,3.937267,2,false,false,0.040538222,-0.120587707,0.191990897,-0.047986943,-0.098399915,-0.054566741,-0.992490411
119,3.970633,2,false,false,0.041202951,-0.121293791,0.196289688,-0.047097258,-0.099050216,-0.054537375,-0.992469966
120,4.004000,2,false,true,0.041709874,-0.122076608,0.200628504,0.046127602,0.099267706,0.054248698,0.992509604
121,4.037367,2,false,false,0.042257041,-0.122717783,0.204749227,0.044802800,0.100061737,0.053276174,0.992543221
122,4.070733,2,false,false,0.042717688,-0.123533599,0.209077656,0.043086104,0.102063663,0.052718855,0.992445111
123,4.104100,2,false,false,0.043450132,-0.124428719,0.213210806,0.042659901,0.103678487,0.052269455,0.992319942
124,4.137467,2,false,false,0.044193469,-0.125189245,0.216987476,0.042787567,0.104394570,0.052489579,0.992227733
125,4.170833,2,false,false,0.044895075,-0.125845864,0.220692769,0.042744078,0.105007693,0.052819461,0.992147446
126,4.204200,2,false,false,0.045488473,-0.126488492,0.224013805,0.042563826,0.106483787,0.053104900,0.991982579
127,4.237567,2,false,false,0.046198718,-0.127164945,0.227014974,0.042315006,0.108286679,0.053137176,0.991796315
128,4.270933,2,false,false,0.046912353,-0.127793193,0.229801193,0.042188633,0.109887034,0.053560339,0.991602898
129,4.304300,2,false,false,0.048404813,-0.128557414,0.232794374,-0.042612731,-0.111150555,-0.054093719,-0.991414964
130,4.337667,2,false,false,0.049194109,-0.129524946,0.234888405,-0.042926490,-0.112959899,-0.055321570,-0.991129160
131,4.371033,2,false,false,0.049936678,-0.130235180,0.237143680,-0.043683052,-0.113662593,-0.055853985,-0.990985930
132,4.404400,2,false,false,0.050633267,-0.130854532,0.238856360,-0.045665260,-0.113389984,-0.056777924,-0.990875244
133,4.437767,2,false,false,0.051115751,-0.131521374,0.241093010,-0.046750195,-0.114358433,-0.057883549,-0.990649343
134,4.471133,2,false,false,0.051457100,-0.132436991,0.243607521,-0.047151294,-0.114645936,-0.058684751,-0.990549982
135,4.504500,2,false,true,0.051250361,-0.134052277,0.245962605,0.047858439,0.115286753,0.057772428,0.990495324
136,4.537867,2,false,false,0.051361807,-0.135102868,0.247714907,0.048614692,0.116666108,0.056357723,0.990378439
137,4.571233,2,false,false,0.051087633,-0.136089712,0.250026733,0.049444482,0.118009366,0.055454839,0.990229189
138,4.604600,2,false,false,0.051245578,-0.137152210,0.252446115,0.050044406,0.119124152,0.055725578,0.990050316
139,4.637967,2,false,false,0.051844660,-0.138130993,0.254394293,0.051502965,0.119498730,0.056761637,0.989871562
140,4.671333,2,false,false,0.052351505,-0.139391974,0.256887615,0.052973919,0.119974971,0.057671379,0.989683747
141,4.704700,2,false,false,0.052960347,-0.140472367,0.259301364,0.053125978,0.121219791,0.059264105,0.989429772
142,4.738067,2,false,false,0.053700995,-0.141220257,0.260866404,0.053440966,0.122493982,0.059710994,0.989229023
143,4.771433,2,false,false,0.055223338,-0.141136453,0.261741161,-0.054424960,-0.123680554,-0.059873879,-0.989017844
144,4.804800,2,false,false,0.056035448,-0.141829669,0.263504028,-0.055127792,-0.124900885,-0.060768481,-0.988770962
