t_s,width_x_m,width_3d_m,width_norm
0.000000000000000000e+00,8.539642621041787507e-02,1.302282274391012296e-01,4.514129394468188727e-01
1.668333333333333474e-02,8.523461964073481001e-02,1.300656594192149684e-01,4.494492674846457536e-01
3.336666666666666947e-02,8.511950284061220451e-02,1.299474021915998923e-01,4.480522189394685051e-01
5.005000000000000421e-02,8.490768339443821588e-02,1.297320692477944015e-01,4.454815945926968168e-01
6.673333333333333894e-02,8.529496532931873931e-02,1.301174731885028357e-01,4.501816180742565510e-01
8.341666666666666674e-02,8.504658621520472250e-02,1.298730613742233309e-01,4.471673084369505169e-01
1.001000000000000084e-01,8.514468957419449313e-02,1.299569444728322087e-01,4.483578831819720056e-01
1.167833333333333362e-01,8.544900155342921577e-02,1.302752834241945323e-01,4.520509897260827081e-01
1.334666666666666779e-01,8.555812600638540433e-02,1.303786399956147757e-01,4.533753156114733729e-01
1.501500000000000057e-01,8.591287797030017215e-02,1.307328034446506304e-01,4.576805578919923567e-01
1.668333333333333335e-01,8.570853013554902144e-02,1.305408423345323365e-01,4.552006084411289177e-01
1.835166666666666613e-01,8.576493367684448477e-02,1.305854662296834778e-01,4.558851174374330406e-01
2.002000000000000168e-01,8.552203303671038204e-02,1.303460192844416443e-01,4.529372941348347448e-01
2.168833333333333446e-01,8.535880786477656468e-02,1.301768142429832742e-01,4.509564061259291878e-01
2.335666666666666724e-01,8.530956024188582343e-02,1.301291756319988835e-01,4.503587407995852110e-01
2.502500000000000280e-01,8.555644287442762397e-02,1.303718140708657325e-01,4.533548892527624052e-01
2.669333333333333558e-01,8.590116358331578716e-02,1.307336889047864548e-01,4.575383930014051970e-01
2.836166666666666836e-01,8.533670758642625254e-02,1.301592019078757212e-01,4.506881988643962611e-01
3.003000000000000114e-01,8.524255943556047210e-02,1.300819612774352374e-01,4.495456242179668993e-01
3.169833333333333392e-01,8.545251482583088309e-02,1.302818817661352269e-01,4.520936265270737997e-01
3.336666666666666670e-01,8.550116560553389089e-02,1.303311650908284824e-01,4.526840486108482109e-01
3.503499999999999948e-01,8.570070026352000214e-02,1.305351768957569158e-01,4.551055857223301193e-01
3.670333333333333226e-01,8.554329937953406016e-02,1.303704924593188375e-01,4.531953808195881006e-01
3.837166666666666504e-01,8.629233561659865881e-02,1.311199366245380804e-01,4.622856264150322914e-01
4.004000000000000337e-01,8.551597530180540807e-02,1.303411850642084147e-01,4.528637779345316416e-01
4.170833333333333615e-01,8.589106296533030593e-02,1.307113752686000219e-01,4.574158126860474183e-01
4.337666666666666893e-01,8.550541651639370633e-02,1.303172450920817294e-01,4.527356373348750962e-01
4.504500000000000171e-01,8.595115424763866141e-02,1.307751361296432546e-01,4.581450758208575613e-01
4.671333333333333449e-01,8.598572990442771014e-02,1.308335628706912834e-01,4.585646833061615135e-01
4.838166666666666726e-01,8.539355910601242883e-02,1.302204986077500626e-01,4.513781444904421125e-01
5.005000000000000560e-01,8.556983742973045537e-02,1.304010972110111466e-01,4.535174445355637518e-01
5.171833333333333282e-01,8.532277892664852370e-02,1.301441277128234097e-01,4.505191617311714025e-01
5.338666666666667115e-01,8.536806907889760154e-02,1.301943892183355378e-01,4.510687995011845031e-01
5.505499999999999838e-01,8.532252522625508040e-02,1.301465638956387783e-01,4.505160828429014552e-01
5.672333333333333671e-01,8.531380116348352693e-02,1.301458598509040998e-01,4.504102082947030183e-01
5.839166666666666394e-01,8.521563776869572893e-02,1.300423701189883652e-01,4.492189049598996342e-01
6.006000000000000227e-01,7.610012445310082585e-02,1.221059623817360024e-01,3.385937433628741222e-01
6.172833333333332950e-01,8.517587175623261841e-02,1.300037825719056739e-01,4.487363077212696560e-01
6.339666666666666783e-01,8.497257357024845525e-02,1.297936621985107675e-01,4.462690967263162056e-01
6.506500000000000616e-01,8.502218354093032948e-02,1.298433256490497123e-01,4.468711594773098206e-01
6.673333333333333339e-01,8.499106008746348806e-02,1.298191717625744868e-01,4.464934476633918292e-01
6.840166666666667172e-01,8.537175360510224076e-02,1.301906311017325679e-01,4.511135146250271899e-01
7.006999999999999895e-01,8.508087894777144333e-02,1.299026183741859575e-01,4.475834823758670367e-01
7.173833333333333728e-01,8.546975843851967181e-02,1.302886051295170100e-01,4.523028936713552328e-01
7.340666666666666451e-01,8.512241227580438774e-02,1.299457464067597101e-01,4.480875276189852929e-01
7.507500000000000284e-01,8.511522335393895133e-02,1.299380275363168635e-01,4.480002834215892071e-01
7.674333333333333007e-01,8.509002048332003909e-02,1.299226807268537009e-01,4.476944233412625818e-01
7.841166666666666840e-01,8.494408662763058837e-02,1.297700947754454881e-01,4.459233814032838583e-01
8.008000000000000673e-01,8.477507288210392455e-02,1.296028140214552926e-01,4.438722437148534539e-01
8.174833333333333396e-01,8.490534231946661459e-02,1.297408968899650961e-01,4.454531834886725217e-01
8.341666666666667229e-01,8.494382623879698224e-02,1.297721869258135763e-01,4.459202213446235574e-01
8.508499999999999952e-01,8.513885885701258371e-02,1.299659634892451066e-01,4.482871220511235877e-01
8.675333333333333785e-01,8.480151550109871206e-02,1.296360223832239422e-01,4.441931492851785568e-01
8.842166666666666508e-01,8.501104599881675883e-02,1.298367690628394466e-01,4.467359951312713240e-01
9.009000000000000341e-01,8.521982668141978023e-02,1.300447770202183551e-01,4.492697412793662526e-01
9.175833333333333064e-01,8.529773856168559876e-02,1.301227491707198924e-01,4.502152738068640470e-01
9.342666666666666897e-01,8.511895157929794120e-02,1.299394118327506231e-01,4.480455288749750076e-01
9.509499999999999620e-01,8.526754768274186214e-02,1.300870108988914087e-01,4.498488796449254812e-01
9.676333333333333453e-01,8.506802914192038156e-02,1.298930059528172754e-01,4.474275381301017207e-01
9.843166666666667286e-01,8.492431081772505719e-02,1.297471107749658126e-01,4.456833837102555651e-01
1.001000000000000112e+00,8.524981434910849920e-02,1.300561273068938373e-01,4.496336692852972994e-01
1.017683333333333273e+00,8.542775020875278957e-02,1.302382456557980295e-01,4.517930850576794555e-01
1.034366666666666656e+00,8.559218573521409912e-02,1.303966256908898336e-01,4.537886618351225643e-01
1.051050000000000040e+00,8.545022802093171777e-02,1.302582934916511059e-01,4.520658740404334686e-01
1.067733333333333423e+00,8.504355724095782887e-02,1.298665369414880033e-01,4.471305490407503358e-01
1.084416666666666584e+00,8.523032667013630270e-02,1.300462938507638833e-01,4.493971683268968564e-01
1.101099999999999968e+00,8.544609671137251561e-02,1.302663261398260552e-01,4.520157367885013766e-01
1.117783333333333351e+00,8.507267336467122520e-02,1.298973321723441987e-01,4.474839000566896430e-01
1.134466666666666734e+00,8.492515838699793429e-02,1.297432723033200563e-01,4.456936697451205354e-01
1.151150000000000118e+00,8.491014616279710103e-02,1.297264766483552101e-01,4.455114825582172644e-01
1.167833333333333279e+00,8.532698659356524606e-02,1.301418496928384849e-01,4.505702256500636604e-01
1.184516666666666662e+00,8.544273886561745690e-02,1.302653639444482092e-01,4.519749862332215762e-01
1.201200000000000045e+00,8.523766526651199715e-02,1.300710821912230419e-01,4.494862289625242147e-01
1.217883333333333429e+00,8.512008526242229034e-02,1.299474345472321768e-01,4.480592871653190645e-01
1.234566666666666590e+00,8.500577264016634382e-02,1.298332860422821144e-01,4.466719980602711360e-01
1.251249999999999973e+00,8.513601657407049439e-02,1.299610380960197487e-01,4.482526283260982458e-01
1.267933333333333357e+00,8.524198139775671090e-02,1.300702780151655469e-01,4.495386091960765773e-01
1.284616666666666740e+00,8.538291628404551248e-02,1.302284770847824957e-01,4.512489840296785570e-01
1.301300000000000123e+00,8.471562347321218156e-02,1.295412110737489686e-01,4.431507703059730519e-01
1.317983333333333285e+00,8.467074638480792670e-02,1.294975283776337860e-01,4.426061454466981293e-01
1.334666666666666668e+00,8.472293768480937404e-02,1.295431353022838128e-01,4.432395350098224940e-01
1.351350000000000051e+00,8.504354783746403967e-02,1.298730720388651116e-01,4.471304349206801088e-01
1.368033333333333434e+00,8.509615270892834094e-02,1.299238192956380100e-01,4.477688435549556090e-01
1.384716666666666596e+00,8.489978395386876819e-02,1.297318119080347609e-01,4.453857275954947736e-01
1.401399999999999979e+00,8.465256042503094269e-02,1.294866422087524171e-01,4.423854420513463892e-01
1.418083333333333362e+00,8.471381343866141167e-02,1.295430267765162458e-01,4.431288038672501206e-01
1.434766666666666746e+00,8.481104783142184855e-02,1.296399975551501826e-01,4.443088329056049668e-01
1.451450000000000129e+00,8.476285841315475689e-02,1.295931005019150262e-01,4.437240098683829514e-01
1.468133333333333290e+00,8.487518059579232665e-02,1.297040594256992363e-01,4.450871431528194977e-01
1.484816666666666674e+00,8.476025955437185844e-02,1.295900513849059243e-01,4.436924703200468278e-01
1.501500000000000057e+00,8.463989316001510610e-02,1.294664865841123058e-01,4.422317131069794516e-01
1.518183333333333440e+00,8.470908880918970318e-02,1.295344264750315222e-01,4.430714661309430036e-01
1.534866666666666601e+00,8.468163740150833063e-02,1.295060098139579619e-01,4.427383179794700530e-01
1.551549999999999985e+00,8.468093556544667444e-02,1.295080638137514895e-01,4.427298005515373225e-01
1.568233333333333368e+00,8.446778955515488185e-02,1.292960376336555472e-01,4.401430771256660268e-01
1.584916666666666751e+00,8.463305879791227504e-02,1.294604355510087790e-01,4.421487718193237160e-01
1.601600000000000135e+00,8.507236228968589886e-02,1.299235786119722902e-01,4.474801248748288551e-01
1.618283333333333296e+00,8.437612310931719151e-02,1.291988241469093912e-01,4.390306202587037632e-01
1.634966666666666679e+00,8.455619153361565443e-02,1.293813241323106544e-01,4.412159166700929114e-01
1.651650000000000063e+00,8.452650783249457400e-02,1.293462302950972864e-01,4.408556775788176618e-01
1.668333333333333446e+00,8.427165452539944757e-02,1.290961253358074434e-01,4.377627976383428043e-01
1.685016666666666607e+00,8.455339272521661398e-02,1.293828357162947196e-01,4.411819505487453164e-01
1.701699999999999990e+00,8.432177721054287534e-02,1.291432336277242854e-01,4.383710826522193571e-01
1.718383333333333374e+00,8.469652680987960203e-02,1.295406353518745723e-01,4.429190146830048747e-01
1.735066666666666757e+00,8.459754197505436890e-02,1.294451509908729758e-01,4.417177424157083809e-01
1.751750000000000140e+00,8.457535210544461779e-02,1.294196215980644160e-01,4.414484478816094182e-01
1.768433333333333302e+00,8.420544024916870596e-02,1.290328878688634662e-01,4.369592263248629482e-01
1.785116666666666685e+00,8.432208962650983297e-02,1.291483120669276174e-01,4.383748741081290312e-01
1.801800000000000068e+00,8.423657281400565022e-02,1.290623904177399806e-01,4.373370487136608031e-01
1.818483333333333452e+00,8.426529624905948479e-02,1.290945538439569884e-01,4.376856340905277420e-01
1.835166666666666613e+00,8.441819095385191818e-02,1.292565249078590495e-01,4.395411523525717956e-01
1.851849999999999996e+00,8.473336374314655028e-02,1.295738316831609727e-01,4.433660648440115315e-01
1.868533333333333379e+00,8.468761239398603369e-02,1.295273085220996490e-01,4.428108300241023754e-01
1.885216666666666763e+00,8.471582092570556499e-02,1.295724395624678615e-01,4.431531665740966464e-01
1.901899999999999924e+00,8.440817339469261493e-02,1.292388463579071112e-01,4.394195800326773371e-01
1.918583333333333307e+00,8.442038390326284114e-02,1.292538322415385799e-01,4.395677658162966406e-01
1.935266666666666691e+00,8.419810132381405632e-02,1.290228020860718916e-01,4.368701616967725077e-01
1.951950000000000074e+00,7.557190376473549298e-02,1.214442148961695500e-01,3.321832981157220033e-01
1.968633333333333457e+00,8.406817359177892746e-02,1.288873400085572551e-01,4.352933688322685457e-01
1.985316666666666618e+00,8.414512486030606420e-02,1.289624478976949262e-01,4.362272434503163265e-01
2.002000000000000224e+00,8.458730158913219110e-02,1.294273439328830211e-01,4.415934658875265706e-01
2.018683333333333163e+00,8.428485231425714153e-02,1.291123663610918015e-01,4.379229649788488055e-01
2.035366666666666546e+00,8.428242701127769410e-02,1.291225532619925953e-01,4.378935316902632935e-01
2.052049999999999930e+00,8.384830849619612225e-02,1.286751355583957146e-01,4.326251031091762345e-01
2.068733333333333313e+00,7.598657086925911242e-02,1.218695030716298866e-01,3.372156658890668735e-01
2.085416666666666696e+00,7.657130967289291212e-02,1.225572706844405696e-01,3.443120105933605846e-01
2.102100000000000080e+00,8.393374713266613107e-02,1.287718356253149676e-01,4.336619797653656905e-01
2.118783333333333463e+00,8.414092650798329909e-02,1.289633061675050374e-01,4.361762925726128670e-01
2.135466666666666846e+00,8.419504149646855895e-02,1.290177385746937022e-01,4.368330278697640789e-01
2.152150000000000230e+00,8.401648508217762767e-02,1.288419413409037095e-01,4.346660810943887010e-01
2.168833333333333169e+00,8.395079988194559251e-02,1.287714288612822056e-01,4.338689306061358497e-01
2.185516666666666552e+00,8.419235076158265718e-02,1.290199855110259475e-01,4.368003733201778482e-01
2.202199999999999935e+00,8.429988624567147371e-02,1.291241241845171861e-01,4.381054156028091340e-01
2.218883333333333319e+00,8.393867237624921818e-02,1.287663018206251786e-01,4.337217521389468144e-01
2.235566666666666702e+00,8.426308585630637449e-02,1.290913899977760015e-01,4.376588089357569822e-01
2.252250000000000085e+00,8.441817674038115671e-02,1.292513974075336913e-01,4.395409798589945960e-01
2.268933333333333469e+00,8.416525419246620454e-02,1.289929317750191096e-01,4.364715314619684872e-01
2.285616666666666852e+00,8.400695092584867241e-02,1.288398378724480153e-01,4.345503753136975011e-01
2.302300000000000235e+00,8.415227420477650044e-02,1.289769023769087031e-01,4.363140073395206375e-01
2.318983333333333174e+00,8.395827920044121595e-02,1.287865366698061897e-01,4.339596990344807836e-01
2.335666666666666558e+00,8.403801067041460904e-02,1.288596169479552800e-01,4.349273139613423211e-01
2.352349999999999941e+00,8.368135783554470075e-02,1.285112883804767347e-01,4.305990028585521823e-01
2.369033333333333324e+00,8.385903208357819993e-02,1.286855827385206541e-01,4.327552437327451540e-01
2.385716666666666708e+00,8.411064905832882355e-02,1.289645565808328065e-01,4.358088477952526962e-01
2.402400000000000091e+00,8.391032900828709895e-02,1.287437192114533890e-01,4.333777792267851647e-01
2.419083333333333474e+00,8.358543805149620809e-02,1.284227125110256329e-01,4.294349278094199973e-01
2.435766666666666858e+00,8.397225745031833277e-02,1.288085398023893491e-01,4.341293379893001458e-01
2.452450000000000241e+00,8.348243577272057570e-02,1.283092232779233788e-01,4.281849001543759359e-01
2.469133333333333180e+00,8.364141340379036005e-02,1.284623900933910823e-01,4.301142403372616441e-01
2.485816666666666563e+00,8.382890871972425995e-02,1.286685815813578548e-01,4.323896689286924611e-01
2.502499999999999947e+00,8.391455171031109161e-02,1.287351004675517108e-01,4.334290256105715056e-01
2.519183333333333330e+00,8.382411665794264888e-02,1.286502372300140640e-01,4.323315128391098106e-01
2.535866666666666713e+00,8.376668411806029169e-02,1.285933243564690853e-01,4.316345159958773214e-01
2.552550000000000097e+00,8.375989290340937754e-02,1.285819305602199092e-01,4.315520983423468127e-01
2.569233333333333480e+00,8.342279500090563071e-02,1.282534009506376416e-01,4.274611043799226850e-01
2.585916666666666863e+00,8.340080042162711926e-02,1.282349062886506963e-01,4.271941798741155094e-01
2.602600000000000247e+00,8.351487211144775769e-02,1.283435894383373188e-01,4.285785450418417297e-01
2.619283333333333186e+00,8.370041539240843931e-02,1.285373948404032463e-01,4.308302838884519037e-01
2.635966666666666569e+00,8.411535605562997508e-02,1.289588790999745826e-01,4.358659715489074382e-01
2.652649999999999952e+00,8.409775836226660028e-02,1.289306318262243289e-01,4.356524073090606852e-01
2.669333333333333336e+00,8.396896941603393394e-02,1.287996236107283587e-01,4.340894346606060106e-01
2.686016666666666719e+00,8.419700960541107171e-02,1.290318494489662848e-01,4.368569126870275876e-01
2.702700000000000102e+00,8.406634734520707086e-02,1.289053836479096271e-01,4.352712056457168632e-01
2.719383333333333486e+00,8.395616981249032218e-02,1.287850477343129574e-01,4.339340996661446570e-01
2.736066666666666869e+00,8.390520970658260635e-02,1.287283400995691829e-01,4.333156517789151230e-01
2.752750000000000252e+00,8.385869642145876712e-02,1.286853857635708587e-01,4.327511701633345309e-01
2.769433333333333191e+00,8.373751137177115611e-02,1.285712066743900650e-01,4.312804778127567462e-01
2.786116666666666575e+00,8.342813621208375330e-02,1.282718979301026851e-01,4.275259249039290443e-01
2.802799999999999958e+00,8.340355314753977733e-02,1.282433349494760677e-01,4.272275867419875750e-01
2.819483333333333341e+00,8.346569824726524089e-02,1.283221389984589567e-01,4.279817748454519677e-01
2.836166666666666725e+00,8.384295243801764830e-02,1.286935576758826694e-01,4.325601024031268116e-01
2.852850000000000108e+00,8.340266799791898333e-02,1.282468439671146376e-01,4.272168446349391413e-01
2.869533333333333491e+00,8.380538359452599506e-02,1.286535206284242228e-01,4.321041698364805339e-01
2.886216666666666875e+00,8.386723439851651030e-02,1.286980063829564203e-01,4.328547863897634906e-01
2.902900000000000258e+00,8.384516469828540153e-02,1.286794242029182245e-01,4.325869502219101825e-01
2.919583333333333197e+00,8.348175265321677863e-02,1.283172304580582346e-01,4.281766098691356381e-01
2.936266666666666580e+00,8.382959499409109450e-02,1.286807418635215194e-01,4.323979975011055243e-01
2.952949999999999964e+00,8.352951051355880785e-02,1.283539505078387377e-01,4.287561955528981783e-01
2.969633333333333347e+00,8.368337702021444446e-02,1.285136371070469685e-01,4.306235075268743384e-01
2.986316666666666730e+00,8.351733390692225867e-02,1.283339045254852651e-01,4.286084212005128458e-01
3.003000000000000114e+00,8.336086855580615573e-02,1.281742338870197062e-01,4.267095698520164682e-01
3.019683333333333497e+00,8.390808885768252789e-02,1.287497289303083103e-01,4.333505929330404016e-01
3.036366666666666880e+00,8.340995438555437458e-02,1.282241654629096839e-01,4.273052716693492292e-01
3.053050000000000264e+00,8.344827321735370784e-02,1.282925361767263128e-01,4.277703060358459819e-01
3.069733333333333203e+00,8.350872654325880440e-02,1.283417838699677516e-01,4.285039629036262454e-01
3.086416666666666586e+00,8.318148575528910849e-02,1.280024512769055989e-01,4.245325941175862594e-01
3.103099999999999969e+00,8.343666327433946206e-02,1.282626421373365133e-01,4.276294086691682095e-01
3.119783333333333353e+00,8.366081118755447354e-02,1.284764141749196731e-01,4.303496503343989255e-01
3.136466666666666736e+00,8.383479526551346206e-02,1.286545878923704145e-01,4.324611075911827807e-01
3.153150000000000119e+00,8.400969935101881836e-02,1.288208301976112302e-01,4.345837299880924709e-01
3.169833333333333503e+00,8.403732755901030527e-02,1.288911001649360177e-01,4.349190237743968956e-01
3.186516666666666886e+00,8.407744669981231933e-02,1.289244166666740077e-01,4.354059065511203808e-01
3.203200000000000269e+00,8.296839425687196901e-02,1.277972659253533150e-01,4.219465322435918542e-01
3.219883333333333209e+00,8.302271221963480885e-02,1.278461569903746042e-01,4.226057308208107655e-01
3.236566666666666592e+00,8.340837682125981645e-02,1.282179792214440395e-01,4.272861264715996921e-01
3.253249999999999975e+00,8.327679019125139304e-02,1.280857873170672401e-01,4.256892013501382688e-01
3.269933333333333358e+00,8.406352303770434076e-02,1.288828956149685179e-01,4.352369300692274234e-01
3.286616666666666742e+00,8.371505814799673484e-02,1.285313093716483890e-01,4.310079872329700690e-01
3.303300000000000125e+00,8.347957369762049051e-02,1.283016633076331792e-01,4.281501662332583558e-01
3.319983333333333508e+00,8.412447850836513030e-02,1.289331146359517788e-01,4.359766809267612842e-01
3.336666666666666892e+00,8.384216100230790225e-02,1.286698018475850580e-01,4.325504976008240354e-01
3.353350000000000275e+00,8.397118599764011315e-02,1.287959680969678056e-01,4.341163349228169266e-01
3.370033333333333214e+00,8.447406197383555693e-02,1.292829553213300509e-01,4.402191987115965377e-01
3.386716666666666598e+00,8.359562432455339143e-02,1.284283144724543135e-01,4.295585476280751602e-01
3.403399999999999981e+00,8.329350921010261755e-02,1.281169653030662936e-01,4.258921020643521294e-01
3.420083333333333364e+00,8.360503339103372844e-02,1.284291326155833635e-01,4.296727353280792028e-01
3.436766666666666747e+00,8.324155987393816458e-02,1.280565913945150014e-01,4.252616489555602342e-01
3.453450000000000131e+00,8.341333436099240828e-02,1.282286186624552737e-01,4.273462907887428108e-01
3.470133333333333514e+00,8.381734085904413156e-02,1.286418415127147385e-01,4.322492822699530723e-01
3.486816666666666897e+00,8.318659284934254439e-02,1.280008394999504195e-01,4.245945734143512507e-01
3.503500000000000281e+00,8.352155408749181720e-02,1.283387673493827374e-01,4.286596369841240151e-01
3.520183333333333220e+00,8.398306976414107727e-02,1.288163333585510550e-01,4.342605553900616422e-01
3.536866666666666603e+00,8.349662150496267587e-02,1.283102939787130192e-01,4.283570570990615778e-01
3.553549999999999986e+00,8.372840413179968855e-02,1.285398439407604565e-01,4.311699530558214533e-01
3.570233333333333370e+00,8.353461145892321360e-02,1.283495323052086801e-01,4.288181002296506672e-01
3.586916666666666753e+00,8.382294331128065101e-02,1.286628551330945558e-01,4.323172731951535064e-01
3.603600000000000136e+00,8.352858099642831990e-02,1.283563966876041795e-01,4.287449150051980684e-01
3.620283333333333520e+00,8.348416501197239437e-02,1.283044538478204932e-01,4.282058860676261625e-01
3.636966666666666903e+00,8.342081190833325333e-02,1.282371948007302309e-01,4.274370377224909201e-01
3.653650000000000286e+00,8.355266050563214808e-02,1.283699115675191460e-01,4.290371420586425733e-01
3.670333333333333226e+00,8.389419195536662599e-02,1.287118318228669678e-01,4.331819412059056407e-01
3.687016666666666609e+00,8.350445635802444810e-02,1.283184277686292563e-01,4.284521402672870072e-01
3.703699999999999992e+00,8.405595121515818668e-02,1.288709551293396038e-01,4.351450390189100514e-01
3.720383333333333375e+00,8.399161673923655203e-02,1.288134833042108018e-01,4.343642808159775548e-01
3.737066666666666759e+00,8.378959410553682430e-02,1.286209941893156350e-01,4.319125498244760220e-01
3.753750000000000142e+00,8.377166937590424522e-02,1.286039196448190147e-01,4.316950166978670289e-01
3.770433333333333525e+00,8.376128376139990728e-02,1.285936361422926888e-01,4.315689776868920635e-01
3.787116666666666909e+00,8.368997785629206376e-02,1.285252193497438966e-01,4.307036147608260257e-01
3.803799999999999848e+00,8.337044046863945068e-02,1.281979197028620399e-01,4.268257338427117742e-01
3.820483333333333231e+00,8.347305937005711218e-02,1.282972815751973195e-01,4.280711088599163938e-01
3.837166666666666615e+00,8.375128989661959067e-02,1.285801553394806951e-01,4.314476929201406796e-01
3.853849999999999998e+00,8.382966644243716736e-02,1.286540759006717938e-01,4.323988645926840624e-01
3.870533333333333381e+00,8.400557720836432374e-02,1.288356229702290190e-01,4.345337039850039051e-01
3.887216666666666764e+00,8.373930383216807161e-02,1.285618564989697565e-01,4.313022309729134807e-01
3.903900000000000148e+00,8.396558830386785521e-02,1.287832022101893792e-01,4.340484017459690924e-01
3.920583333333333531e+00,8.361744464702222657e-02,1.284393862013155085e-01,4.298233573667745722e-01
3.937266666666666914e+00,8.362559769046751246e-02,1.284538939414990588e-01,4.299223020687805152e-01
3.953949999999999854e+00,8.388402611284323518e-02,1.287118940239448672e-01,4.330585693306217565e-01
3.970633333333333237e+00,8.373406122392018647e-02,1.285576977199207049e-01,4.312386070864100418e-01
3.987316666666666620e+00,8.419893369030884145e-02,1.290406523776905789e-01,4.368802632319034318e-01
4.004000000000000448e+00,8.451742945790807759e-02,1.293529742985885800e-01,4.407455031299524206e-01
4.020683333333333387e+00,8.424130683339398074e-02,1.290607614062968811e-01,4.373945004052667285e-01
4.037366666666666326e+00,8.383391896504721608e-02,1.286652191237850351e-01,4.324504728767866180e-01
4.054050000000000153e+00,8.380086386913959684e-02,1.286374502924647334e-01,4.320493188002378360e-01
4.070733333333333093e+00,8.360471751351911118e-02,1.284426871360309919e-01,4.296689018630960311e-01
4.087416666666666920e+00,8.372416972826129955e-02,1.285588713245416903e-01,4.311185646633652890e-01
4.104099999999999859e+00,8.365422589254181696e-02,1.284793064284421304e-01,4.302697317056045634e-01
4.120783333333333687e+00,8.373260522537745443e-02,1.285536616600290172e-01,4.312209372011827080e-01
4.137466666666666626e+00,8.403715737142597453e-02,1.288517380303444981e-01,4.349169583910919012e-01
4.154150000000000453e+00,8.362820912940638340e-02,1.284489537873600151e-01,4.299539942889124000e-01
4.170833333333333393e+00,8.398812125956245378e-02,1.288031920349184123e-01,4.343218599461463048e-01
4.187516666666666332e+00,8.366766694075231103e-02,1.284964201305874576e-01,4.304328512227222348e-01
4.204200000000000159e+00,8.405015473688287608e-02,1.288711412164449399e-01,4.350746934087727502e-01
4.220883333333333098e+00,8.398039097372461681e-02,1.288045280967324846e-01,4.342280457976288588e-01
4.237566666666666926e+00,8.409479772966002575e-02,1.289410710108382652e-01,4.356164773016993341e-01
4.254249999999999865e+00,8.433555060973157991e-02,1.291759545334843218e-01,4.385382355549948818e-01
4.270933333333333692e+00,8.419388011235695579e-02,1.290251616072249086e-01,4.368189334023902526e-01
4.287616666666666632e+00,8.423372320934002788e-02,1.290625153581546614e-01,4.373024661327673535e-01
4.304300000000000459e+00,8.402329495143417981e-02,1.288518265192256929e-01,4.347487251387643359e-01
4.320983333333333398e+00,8.413979566168205970e-02,1.289664686021503859e-01,4.361625687097337445e-01
4.337666666666666337e+00,8.401779126940722708e-02,1.288545322381064173e-01,4.346819328811556415e-01
4.354350000000000165e+00,8.401219809984777909e-02,1.288489506942473994e-01,4.346140546098031243e-01
4.371033333333333104e+00,8.415144298607921125e-02,1.289819588798612471e-01,4.363039197339710351e-01
4.387716666666666931e+00,8.439735876453763330e-02,1.292253041376834055e-01,4.392883345210877866e-01
4.404399999999999871e+00,8.437895112443180579e-02,1.292166013168012384e-01,4.390649408304830859e-01
4.421083333333333698e+00,8.395375061440185638e-02,1.287943995234518968e-01,4.339047404660419383e-01
4.437766666666666637e+00,8.431591776323771326e-02,1.291538225589488609e-01,4.382999728548266360e-01
4.454450000000000465e+00,8.430650536183878496e-02,1.291477367576633062e-01,4.381857446825095370e-01
4.471133333333333404e+00,8.411211604456733659e-02,1.289396463728080255e-01,4.358266510263026361e-01
4.487816666666666343e+00,8.411256402113423403e-02,1.289532720735909466e-01,4.358320876351242101e-01
4.504500000000000171e+00,8.434244846599489587e-02,1.291757250255083089e-01,4.386219474028506538e-01
4.521183333333333110e+00,8.452698743825393102e-02,1.293577081131704054e-01,4.408614980370622605e-01
4.537866666666666937e+00,8.455548160879880482e-02,1.293849728185800241e-01,4.412073010776553783e-01
4.554549999999999876e+00,8.483101812746479675e-02,1.296544723563018420e-01,4.445511908672912238e-01
4.571233333333333704e+00,8.454519969514928679e-02,1.293690958865711949e-01,4.410825205722000986e-01
4.587916666666666643e+00,8.470667025963091179e-02,1.295325543427911230e-01,4.430421148013460320e-01
4.604600000000000470e+00,8.424617971134623629e-02,1.290688749823785675e-01,4.374536372736193557e-01
4.621283333333333410e+00,8.426825946941585155e-02,1.291030425939140858e-01,4.377215955026195759e-01
4.637966666666666349e+00,8.445091546812674710e-02,1.292771962435512456e-01,4.399382945161012803e-01
4.654650000000000176e+00,8.489033905420662052e-02,1.297298011336480150e-01,4.452711050267793569e-01
4.671333333333333115e+00,8.513647538100382883e-02,1.299597111801567562e-01,4.482581963714056816e-01
4.688016666666666943e+00,8.506407454389675049e-02,1.298893219513116426e-01,4.473795454356401802e-01
4.704699999999999882e+00,8.474588418686956892e-02,1.295907931366582777e-01,4.435180119765724238e-01
4.721383333333333709e+00,8.456410258124313906e-02,1.294053795948464369e-01,4.413119245296497350e-01
4.738066666666666649e+00,8.491775134950510506e-02,1.297530119559660855e-01,4.456037785134114859e-01
4.754750000000000476e+00,8.476668770166995159e-02,1.295901818911726899e-01,4.437704818163829001e-01
4.771433333333333415e+00,8.516302733834127392e-02,1.300084319325298943e-01,4.485804288633649661e-01
4.788116666666666355e+00,8.514817958406323273e-02,1.299865964200508373e-01,4.484002376706702764e-01
4.804800000000000182e+00,8.489582400877165869e-02,1.297345730002446851e-01,4.453376700093648055e-01
4.821483333333333121e+00,8.471133178301373801e-02,1.295480633917235336e-01,4.430986866870599283e-01
