t,gx,gy,gz,ax,ay,az
-9.905895543521271891e-04,-4.685835995740149362e-02,-3.301384451544196047e-02,1.001064962726304630e-01,8.796163069544364888e+00,4.412470023980815115e-01,4.242206235011990678e+00
3.966149741282310251e-03,-5.111821086261980618e-02,-3.407880724174654208e-02,1.118210862619808260e-01,8.896882494004795916e+00,2.326139088729016757e-01,4.093525179856115415e+00
8.922889036916748992e-03,-5.857294994675186356e-02,-2.662406815761448470e-02,1.033013844515442009e-01,8.908872901678657641e+00,1.294964028776978415e-01,4.170263788968824770e+00
1.387962833255118600e-02,-5.218317358892438779e-02,-2.768903088391906284e-02,9.371671991480298725e-02,8.877697841726618577e+00,7.194244604316546443e-02,4.230215827338129841e+00
1.883636762818562474e-02,-4.898828541001064990e-02,-3.301384451544196047e-02,8.945686900958466081e-02,8.923261390887290645e+00,4.076738609112710160e-02,4.110311750599520586e+00
2.379310692382006348e-02,-5.111821086261980618e-02,-2.981895633652822258e-02,7.987220447284344715e-02,9.011990407673861725e+00,9.592326139088728360e-03,4.098321342925659749e+00
2.874984621945449875e-02,-5.111821086261980618e-02,-2.236421725239616520e-02,7.135250266240682204e-02,9.028776978417266008e+00,-2.398081534772182090e-03,4.093525179856115415e+00
3.370658551508894096e-02,-5.324813631522896940e-02,-2.342917997870074681e-02,6.815761448349308416e-02,9.441247002398082344e+00,-9.592326139088729053e-02,4.309352517985611364e+00
3.866332481072337623e-02,-3.940362087326943624e-02,-4.792332268370606829e-02,7.348242811501597138e-02,9.390887290167865942e+00,-2.158273381294963933e-01,3.992805755395683498e+00
4.362006410635781151e-02,-1.916932907348242732e-02,-5.750798722044728195e-02,7.135250266240682204e-02,9.052757793764987682e+00,-3.549160671462829875e-01,3.273381294964028854e+00
4.857680340199225372e-02,-1.064962726304579353e-02,-1.384451544195953142e-02,4.046858359957401785e-02,8.877697841726618577e+00,-3.069544364508393075e-01,2.788968824940047941e+00
5.353354269762668899e-02,-2.449414270500532495e-02,5.431309904153354406e-02,1.064962726304579440e-03,8.729016786570744202e+00,-2.110311750599520308e-01,3.110311750599520586e+00
5.849028199326112426e-02,-1.384451544195953142e-02,1.150159744408945639e-01,-8.519701810436635520e-03,8.954436450839327932e+00,-2.206235011990407557e-01,3.654676258992805682e+00
6.344702128889555259e-02,-2.129925452609158880e-03,1.299254526091586925e-01,-5.324813631522896766e-03,9.335731414868105205e+00,-4.316546762589927866e-01,4.141486810551558762e+00
6.840376058453000174e-02,4.259850905218317760e-03,1.182108626198083018e-01,-2.129925452609158706e-02,9.460431654676259683e+00,-4.676258992805755188e-01,4.695443645083932971e+00
7.336049988016443701e-02,1.916932907348242732e-02,8.839190628328008614e-02,-4.472843450479233041e-02,8.824940047961630896e+00,-1.942446043165467762e-01,4.971223021582733992e+00
7.831723917579887229e-02,2.875399361022364098e-02,3.301384451544196047e-02,-3.833865814696485463e-02,8.527577937649880369e+00,-1.822541966426858562e-01,4.810551558752997892e+00
8.327397847143330756e-02,4.259850905218317413e-02,1.171458998935037341e-02,-4.685835995740149362e-02,8.482014388489208301e+00,-2.973621103117505826e-01,4.110311750599520586e+00
8.823071776706774283e-02,1.277955271565495154e-02,3.940362087326943624e-02,-8.519701810436634826e-02,8.326139088729016535e+00,-1.678657074340527688e-01,4.467625899280575297e+00
9.318745706270219198e-02,7.454739084132055646e-03,4.579339723109691201e-02,-1.107561235356762513e-01,8.381294964028777272e+00,1.199040767386091166e-01,4.872901678657074243e+00
9.814419635833662725e-02,-1.064962726304579440e-03,9.584664536741213658e-03,-1.107561235356762513e-01,8.760191846522781489e+00,1.151079136690647542e-01,5.064748201438848518e+00
1.031009356539710625e-01,-5.324813631522896766e-03,-4.046858359957401785e-02,-1.192758253461128903e-01,9.057553956834532016e+00,2.398081534772182263e-02,4.786570743405276218e+00
1.080576749496054978e-01,-8.519701810436635520e-03,-7.880724174653887248e-02,-1.363152289669861683e-01,9.033573141486810343e+00,1.534772182254196538e-01,4.326139088729016535e+00
1.130144142452399331e-01,4.259850905218317760e-03,-7.880724174653887248e-02,-1.405750798722044670e-01,8.597122302158274110e+00,4.460431654676259017e-01,4.093525179856115415e+00
1.179711535408743683e-01,4.046858359957401785e-02,-4.579339723109691201e-02,-1.235356762513312029e-01,8.482014388489208301e+00,6.067146282973621130e-01,3.848920863309352569e+00
1.229278928365088175e-01,2.768903088391906284e-02,-1.916932907348242732e-02,-1.256656017039403661e-01,8.841726618705035179e+00,7.098321342925659749e-01,3.721822541966426812e+00
1.278846321321432389e-01,-4.685835995740149362e-02,-1.490947816826411129e-02,-1.874334398296059745e-01,9.386091127098321607e+00,9.400479616306954833e-01,3.779376498800959272e+00
1.328413714277776880e-01,-1.384451544195953177e-01,-7.454739084132055646e-03,-2.268370607028754038e-01,9.211031175059952503e+00,1.661870503597122406e+00,4.431654676258992787e+00
1.377981107234121372e-01,-1.831735889243876481e-01,-3.833865814696485463e-02,-1.341853035143769912e-01,8.846522781774579514e+00,2.143884892086330929e+00,4.544364508393285540e+00
1.427548500190465586e-01,-1.991480298189563236e-01,-7.454739084132055993e-02,3.301384451544196047e-02,8.997601918465226944e+00,1.316546762589928088e+00,3.973621103117506159e+00
1.477115893146810077e-01,-1.906283280085196985e-01,-5.431309904153354406e-02,9.052183173588924936e-02,9.047961630695443347e+00,8.633093525179856564e-02,3.187050359712230385e+00
1.526683286103154291e-01,-2.140575079872204523e-01,-4.259850905218317760e-03,-1.064962726304579440e-03,9.134292565947241371e+00,-4.220623501199040617e-01,3.299760191846522694e+00
1.576250679059498783e-01,-2.342917997870074542e-01,3.514376996805111675e-02,-1.309904153354632672e-01,8.932853717026379314e+00,7.673860911270982688e-02,3.786570743405275774e+00
1.625818072015843274e-01,-2.332268370607028796e-01,3.620873269435569836e-02,-1.725239616613418459e-01,8.788968824940047497e+00,7.482014388489208745e-01,4.211031175059951615e+00
1.675385464972187488e-01,-1.895633652822151238e-01,4.366347177848775574e-02,-1.054313099041533502e-01,9.038369304556354678e+00,8.681055155875300189e-01,4.398081534772182444e+00
1.724952857928531980e-01,-1.448349307774227934e-01,4.898828541001064990e-02,-5.324813631522896766e-03,8.928057553956834980e+00,4.796163069544364665e-01,4.575539568345323715e+00
1.774520250884876194e-01,-1.139510117145899892e-01,1.916932907348242732e-02,4.472843450479233041e-02,8.908872901678657641e+00,-1.175059952038369354e-01,4.537170263788969038e+00
1.824087643841220685e-01,-8.200212992545261037e-02,-7.454739084132055646e-03,2.236421725239616520e-02,8.673860911270983465e+00,-3.357314148681055377e-01,4.110311750599520586e+00
1.873655036797565177e-01,-5.111821086261980618e-02,1.384451544195953142e-02,-2.875399361022364098e-02,8.599520383693045389e+00,-2.398081534772182333e-01,4.280575539568345356e+00
1.923222429753909390e-01,-4.259850905218317760e-03,3.833865814696485463e-02,-6.283280085197018305e-02,8.613908872901678393e+00,7.434052757793764565e-02,4.419664268585131950e+00
1.972789822710253882e-01,-2.129925452609158880e-03,2.555910543130990309e-02,-6.283280085197018305e-02,9.083932853717026745e+00,3.597122302158273222e-01,4.597122302158273222e+00
2.022357215666598096e-01,-2.555910543130990309e-02,-2.768903088391906284e-02,-5.324813631522896766e-03,9.107913669064748419e+00,9.112709832134292809e-02,4.570743405275779381e+00
2.071924608622942587e-01,6.389776357827475772e-03,-4.259850905218317413e-02,2.662406815761448470e-02,9.170263788968824770e+00,-4.604316546762590168e-01,3.570743405275779381e+00
2.121492001579287079e-01,-1.384451544195953142e-02,0.000000000000000000e+00,-4.046858359957401785e-02,8.616306954436451448e+00,-5.131894484412470314e-01,4.026378896882493841e+00
2.171059394535631293e-01,1.064962726304579353e-02,7.454739084132055646e-03,-1.182108626198083018e-01,8.611510791366907114e+00,6.235011990407673954e-02,4.014388489208633004e+00
2.220626787491975784e-01,-4.259850905218317760e-03,2.342917997870074681e-02,-1.618743343982960714e-01,8.470023980815348352e+00,8.561151079136690711e-01,4.153477218225419598e+00
2.270194180448319998e-01,-4.366347177848775574e-02,2.129925452609158880e-03,-1.395101171458998923e-01,9.551558752997602042e+00,9.616306954436451004e-01,4.458033573141486627e+00
2.319761573404664490e-01,-7.241746538871139671e-02,-4.792332268370606829e-02,-1.086261980830670881e-01,9.611510791366907114e+00,8.057553956834532238e-01,3.268585131894484519e+00
2.369328966361008704e-01,-1.448349307774227934e-01,-2.129925452609158706e-02,-9.478168264110756192e-02,9.393285371702637221e+00,7.410071942446042614e-01,3.577937649880095883e+00
2.418896359317353195e-01,-1.458998935037273681e-01,3.514376996805111675e-02,-9.265175718849839870e-02,8.033573141486810343e+00,1.292565947242206192e+00,3.434052757793764954e+00
2.468463752273697687e-01,-1.725239616613418459e-01,8.093716719914803570e-02,-3.088391906283280072e-02,7.923261390887289757e+00,1.112709832134292531e+00,4.743405275779376318e+00
2.518031145230042456e-01,-1.277955271565495154e-01,6.176783812566560145e-02,1.277955271565495154e-02,9.685851318944843413e+00,4.340527577937650094e-01,4.280575539568345356e+00
2.567598538186386392e-01,-1.693290734824281218e-01,7.454739084132055646e-03,-9.371671991480298725e-02,1.289448441247002464e+01,6.378896882494005105e-01,4.194244604316546443e+00
2.617165931142730884e-01,-2.012779552715655007e-01,-1.001064962726304630e-01,-3.003194888178913891e-01,1.081055155875299789e+01,4.057553956834532016e+00,2.678657074340527799e+00
2.666733324099075375e-01,-2.534611288604898816e-01,-1.884984025559105492e-01,-1.224707135250266282e-01,7.568345323741007213e+00,6.131894484412470092e+00,1.047961630695443569e+00
2.716300717055419867e-01,-1.565495207667731703e-01,-1.490947816826411129e-02,3.833865814696485463e-01,6.760191846522781489e+00,3.561151079136690711e+00,-1.582733812949640217e+00
2.765868110011764358e-01,-1.299254526091586925e-01,3.067092651757188371e-01,5.974440894568689986e-01,8.378896882494004217e+00,4.964028776978417490e-01,6.019184652278177783e-01
2.815435502968108294e-01,-8.945686900958466081e-02,4.100106496272630241e-01,4.462193823216187294e-01,1.045323741007194229e+01,-1.103117505995203779e-01,3.359712230215827322e+00
2.865002895924452786e-01,-1.171458998935037271e-01,3.471778487752928410e-01,2.768903088391906353e-01,9.688249400479616469e+00,6.762589928057554101e-01,5.297362110311750527e+00
2.914570288880797277e-01,-6.389776357827475772e-02,3.567625133120340686e-01,2.928647497337593109e-01,8.074340527577938076e+00,1.117505995203836866e+00,7.345323741007193874e+00
2.964137681837141769e-01,1.703940362087327104e-02,3.258785942492012921e-01,4.110756123535675988e-01,6.920863309352517589e+00,3.884892086330935523e-01,8.618705035971222728e+00
