t,gx,gy,gz,ax,ay,az
2.472414120536313986e-01,1.618743343982960714e-01,1.107561235356762513e-01,3.620873269435569836e-02,9.191846522781775164e+00,2.541966426858512929e-01,4.122302158273381423e+00
2.521975582122903403e-01,1.544195953141639932e-01,1.118210862619808260e-01,4.472843450479233041e-02,9.362110311750599934e+00,7.434052757793764565e-02,4.100719424460431917e+00
2.571537043709493098e-01,1.267305644302449408e-01,1.128860489882854146e-01,2.875399361022364098e-02,9.522781774580336034e+00,-2.398081534772182263e-02,4.230215827338129841e+00
2.621098505296082792e-01,1.139510117145899892e-01,1.192758253461128903e-01,4.259850905218317760e-03,9.517985611510791699e+00,8.872901678657074687e-02,4.318944844124700033e+00
2.670659966882672487e-01,9.478168264110756192e-02,1.203407880724174650e-01,-8.519701810436635520e-03,9.489208633093525691e+00,2.230215827338129508e-01,4.553956834532374209e+00
2.720221428469262182e-01,8.732694355697551147e-02,1.182108626198083018e-01,-1.384451544195953142e-02,9.434052757793764954e+00,2.230215827338129508e-01,4.426858513189448452e+00
2.769782890055851876e-01,6.602768903088392094e-02,1.128860489882854146e-01,-1.490947816826411129e-02,9.342925659472422595e+00,2.014388489208633060e-01,4.292565947242206192e+00
2.819344351642441571e-01,4.898828541001064990e-02,1.150159744408945639e-01,-2.236421725239616520e-02,9.244604316546762846e+00,2.709832134292565753e-01,4.155875299760191766e+00
2.868905813229031265e-01,3.833865814696485463e-02,1.320553780617678419e-01,-2.129925452609158706e-02,8.947242206235012318e+00,4.844124700239808012e-01,4.254196642685851515e+00
2.918467274815620960e-01,3.833865814696485463e-02,1.427050053248136441e-01,0.000000000000000000e+00,8.923261390887290645e+00,4.220623501199040617e-01,4.767386091127097991e+00
2.968028736402210654e-01,4.792332268370606829e-02,1.171458998935037271e-01,2.023429179978700893e-02,9.129496402877697037e+00,8.633093525179856564e-02,5.007194244604316502e+00
3.017590197988800349e-01,4.259850905218317413e-02,6.602768903088392094e-02,2.129925452609158880e-03,9.127098321342925757e+00,-6.474820143884892076e-02,5.059952038369304184e+00
3.067151659575390044e-01,3.088391906283280072e-02,6.389776357827475772e-03,-3.088391906283280072e-02,9.256594724220622794e+00,1.678657074340527550e-02,4.551558752997602042e+00
3.116713121161979738e-01,-5.324813631522896766e-03,-3.301384451544196047e-02,-6.389776357827475772e-02,9.213429256594723782e+00,2.110311750599520308e-01,3.988009592326139163e+00
3.166274582748569433e-01,-2.023429179978700893e-02,-1.064962726304579440e-03,-7.561235356762513460e-02,9.136690647482014427e+00,2.422062350119904006e-01,3.956834532374100544e+00
3.215836044335159127e-01,-1.277955271565495154e-02,4.685835995740149362e-02,-7.028753993610223350e-02,9.729016786570744202e+00,-4.076738609112710160e-02,4.112709832134292753e+00
3.265397505921748822e-01,-2.768903088391906284e-02,6.389776357827475772e-02,-1.001064962726304630e-01,9.539568345323740317e+00,-1.798561151079136611e-01,4.774580335731414493e+00
3.314958967508338517e-01,-1.171458998935037341e-02,3.407880724174654208e-02,-1.288604898828540901e-01,9.287769784172661858e+00,9.592326139088728360e-03,4.872901678657074243e+00
3.364520429094928211e-01,-1.064962726304579440e-03,-2.129925452609158880e-03,-1.416400425985090417e-01,9.275779376498800133e+00,3.237410071942445899e-01,4.642685851318944401e+00
3.414081890681517906e-01,8.519701810436635520e-03,-2.129925452609158706e-02,-1.331203407880724165e-01,9.055155875299760737e+00,4.868105515587530241e-01,4.393285371702638109e+00
3.463643352268107600e-01,2.449414270500532495e-02,-4.259850905218317760e-03,-1.171458998935037271e-01,9.151079136690647431e+00,4.052757793764987793e-01,4.357314148681055599e+00
3.513204813854697295e-01,2.875399361022364098e-02,1.064962726304579440e-03,-1.235356762513312029e-01,9.242206235011989790e+00,4.340527577937650094e-01,4.983213429256594829e+00
3.562766275441286989e-01,3.407880724174654208e-02,-4.685835995740149362e-02,-1.341853035143769912e-01,9.146282973621103096e+00,6.738609112709832427e-01,5.299760191846522694e+00
3.612327737027876684e-01,3.301384451544196047e-02,-1.246006389776357776e-01,-1.246006389776357776e-01,8.930455635491606259e+00,9.760191846522782155e-01,5.189448441247002108e+00
3.661889198614466379e-01,4.792332268370606829e-02,-1.821086261980830734e-01,-8.945686900958466081e-02,8.815347721822542226e+00,1.134292565947242259e+00,4.592326139088728887e+00
3.711450660201056073e-01,5.218317358892438779e-02,-1.927582534611288478e-01,-4.046858359957401785e-02,9.004796163069544335e+00,1.093525179856115193e+00,4.299760191846522694e+00
3.761012121787645768e-01,5.750798722044728195e-02,-1.895633652822151238e-01,1.064962726304579353e-02,9.278177458033573188e+00,9.328537170263788703e-01,4.309352517985611364e+00
3.810573583374235462e-01,6.070287539936101984e-02,-1.948881789137380249e-01,5.005324813631523151e-02,9.465227817745804018e+00,7.242206235011990900e-01,4.285371702637889690e+00
3.860135044960825157e-01,6.389776357827475772e-02,-2.023429179978700754e-01,7.135250266240682204e-02,9.465227817745804018e+00,6.187050359712230607e-01,4.131894484412470092e+00
3.909696506547414852e-01,6.602768903088392094e-02,-1.938232161874334503e-01,8.732694355697551147e-02,9.376498800959232938e+00,5.851318944844124958e-01,3.851318944844124736e+00
3.959257968134004546e-01,5.644302449414270728e-02,-1.735889243876464205e-01,1.001064962726304630e-01,9.335731414868105205e+00,4.988009592326139163e-01,3.856115107913669071e+00
4.008819429720593686e-01,5.431309904153354406e-02,-1.565495207667731703e-01,1.118210862619808260e-01,9.448441247002397958e+00,3.093525179856115304e-01,3.858513189448441238e+00
