frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
53,1.768433,2,false,false,0.003375559,-0.081277572,0.005527732,0.018301794,0.056887176,0.016811896,0.998071313
54,1.801800,2,false,false,0.002887439,-0.081382476,0.006642088,0.018775361,0.058157913,0.017500568,0.997977436
55,1.835167,2,false,false,0.002433463,-0.082015872,0.008724759,0.018232889,0.059079472,0.018615626,0.997913182
56,1.868533,2,false,false,0.002022336,-0.082344905,0.010846347,0.017857904,0.058914144,0.019537123,0.997912109
57,1.901900,2,false,false,0.001468191,-0.082950555,0.013303116,0.017115368,0.058012072,0.020642128,0.997955739
58,1.935267,2,false,false,0.000288438,-0.083149172,0.016439084,0.016275957,0.057538472,0.020899063,0.997991860
59,1.968633,2,false,false,-0.000544070,-0.083516397,0.019402619,0.015229925,0.058317348,0.020119935,0.997979105
60,2.002000,2,false,false,-0.002780383,-0.084451184,0.022576554,-0.013877278,-0.060191765,-0.019033384,-0.997908890
61,2.035367,2,false,false,-0.003297287,-0.085858256,0.025889212,-0.013768040,-0.061731152,-0.018656999,-0.997823477
62,2.068733,2,false,false,-0.003611461,-0.087241359,0.028712306,-0.014268986,-0.062901646,-0.019192724,-0.997733176
63,2.102100,2,false,false,-0.003958801,-0.088704228,0.032398198,-0.014210862,-0.063621677,-0.019854251,-0.997675359
64,2.135467,2,false,false,-0.004273588,-0.090408988,0.035976276,-0.014595774,-0.065411404,-0.020727910,-0.997536361
65,2.168833,2,false,false,-0.004425914,-0.092059188,0.039686237,-0.014650864,-0.067527816,-0.021794653,-0.997371733
66,2.202200,2,false,true,-0.003351858,-0.094052866,0.042499103,0.014813307,0.068616383,0.023251295,0.997262120
67,2.235567,2,false,false,-0.002913397,-0.095954031,0.046042904,0.015363911,0.069695614,0.023543302,0.997172177
68,2.268933,2,false,false,-0.003265794,-0.097995035,0.049979769,0.015266598,0.071501054,0.022969648,0.997059166
69,2.302300,2,false,false,-0.003279983,-0.099923685,0.053964037,0.014602906,0.073315822,0.021396371,0.996972322
70,2.335667,2,false,false,-0.003150132,-0.101830631,0.058578666,0.013938604,0.074997798,0.019529657,0.996895075
71,2.369033,2,false,false,-0.002858731,-0.103946120,0.062988833,0.013684548,0.077292569,0.018087471,0.996750534
72,2.402400,2,false,false,-0.002804977,-0.105870478,0.067501530,0.014164429,0.080150321,0.016652621,0.996543109
73,2.435767,2,false,false,-0.002205362,-0.107685275,0.072050035,0.014029805,0.082943231,0.016309841,0.996322036
74,2.469133,2,false,false,-0.002022874,-0.109357044,0.076970212,0.014132914,0.085651703,0.016471580,0.996088743
75,2.502500,2,false,false,-0.002164099,-0.109947734,0.081701048,-0.013926982,-0.088173479,-0.018008381,-0.995844960
