timestamp,x,y,z,q_x,q_y,q_z,q_w,ok
0.0,0.25365350457579783,-0.017077160174816863,0.024214849189697046,-0.37449658253446183,-0.3875697753508453,0.5896516993196739,0.6015420620321784,1
0.033367,0.26798925492273906,-0.03389070915842279,0.018064504794371827,-0.3760776635270893,-0.3863732525798899,0.5864287842252182,0.6044688426370498,1
0.066733,0.2680080969281046,-0.034201052671916775,0.018046500676756533,-0.37736384151320385,-0.38533035664180865,0.5843569694324218,0.6063365234293987,1
0.1001,0.2683082651733387,-0.03423414567620482,0.018078973918963848,-0.37796240735035086,-0.3847121724208388,0.5851422965943374,0.6055984278030044,1
0.133467,0.2680040999146596,-0.03520193369129277,0.01795857373676857,-0.3782447592992136,-0.38403650359195407,0.5860881037555774,0.604936030178182,1
0.166833,0.25385565910660624,-0.019088190758621115,0.023783279958688397,-0.37729090326315917,-0.3836219551073281,0.5856004283237106,0.6062655426639282,1
0.2002,0.2540303098173265,-0.018857015232459896,0.02405728636318963,-0.3765782120737482,-0.3843283511969031,0.5844453894578678,0.6073748063585204,1
0.233567,0.25393422883243894,-0.018263358923570117,0.024028306705733277,-0.37548474167156787,-0.38473721373016256,0.584222957766054,0.6080065959856608,1
0.266933,0.2536713022581826,-0.01804696829270868,0.02377518824568739,-0.37469537074920717,-0.3838751164941981,0.5856413158056862,0.6076738626081135,1
0.3003,0.2534273783693486,-0.017050626735938983,0.023467097216556904,-0.37222490753614834,-0.3838975597170401,0.5875526805221264,0.6073327995953055,1
0.333667,0.25347209603101056,-0.016045963841988857,0.02338561811854134,-0.37075349377626887,-0.38449550199063537,0.5890891295228939,0.606365445321234,1
0.367033,0.2539687679155775,-0.01579932200333478,0.02355096160360337,-0.3716142359472462,-0.38440430977169177,0.590136404651767,0.6048761940884925,1
0.4004,0.254758879753055,-0.01586535081249142,0.024253096280518305,-0.3734144530825877,-0.3863635218841001,0.5904285815419102,0.6022283331799944,1
0.433767,0.2552209378490818,-0.01616892053517025,0.024966999054193972,-0.37455397936966167,-0.38894373751392197,0.5895767049958301,0.6006924292125816,1
0.467133,0.25622096906954606,-0.016440444249362775,0.025855968849135602,-0.3770212315221959,-0.391615522650861,0.5874817263925765,0.5994643396860049,1
0.5005,0.25627426181199053,-0.009258293020792766,0.037556659438172935,-0.3775540833270543,-0.39373087366522713,0.5846048243411452,0.6005548373320652,1
0.533867,0.2644649046729942,-0.016445857582555713,0.03953217394413705,-0.37706348745348583,-0.39553546947485974,0.5835274145330517,0.6007250413501083,1
