timestamp,x,y,z,q_x,q_y,q_z,q_w,ok
0.0,0.02029036679432588,-0.35389414353390375,0.17295347460116228,0.8423011863590047,-0.00840775610477972,-0.009244143292224043,-0.5388622893748349,1
0.033367,0.0362917594846724,-0.33966973610243534,0.16673789383481935,0.8420917876532764,-0.012756247636007651,-0.0072800808355453685,-0.5391342131011404,1
0.066733,0.03593879598892614,-0.33971822081205744,0.1666803484850867,0.8419474431172893,-0.015541891678718205,-0.005633176869861784,-0.5393062394870458,1
0.1001,0.03567940554232345,-0.33940564284882324,0.1667249467622018,0.8419808408563422,-0.014464669094490316,-0.0047728046527581395,-0.5392923671948087,1
0.133467,0.03642453806891752,-0.3396051441440929,0.16668233051973746,0.8421812416613963,-0.013327496584728853,-0.004095381664295346,-0.53901425016179,1
0.166833,0.020429885282966166,-0.3534176450922112,0.1727485042966906,0.8427765103508483,-0.014612442483963248,-0.004476729691055445,-0.5380466420458105,1
0.2002,0.02053359444287031,-0.35325174270456305,0.17301281760940346,0.842744142416847,-0.016213546179104837,-0.0054801759291220236,-0.5380421907380284,1
0.233567,0.0203204491826783,-0.35318371104475277,0.17309713421883968,0.843033602188849,-0.016817571866371592,-0.006542485735371442,-0.5375580998714607,1
0.266933,0.020118515824533962,-0.3530275620133252,0.1731440640330942,0.8438012547492326,-0.015579363250806454,-0.006491060465851488,-0.5363903355377952,1
0.3003,0.019810717010791158,-0.35265644410608593,0.17326230578704224,0.8449116257323797,-0.01398665632932233,-0.008253811511540591,-0.5346593240022327,1
0.333667,0.0193796200503316,-0.3523873850170278,0.17332779700268525,0.845314036472764,-0.012216200054926506,-0.009717067195499845,-0.5340416863911082,1
0.367033,0.018917380271200154,-0.35207398294382364,0.1733682259719304,0.8450015121725961,-0.010422605063970539,-0.009043947933142104,-0.5345858403806528,1
0.4004,0.019053960157933057,-0.35221644293834975,0.1734044057132953,0.8433357920288846,-0.008343684399606376,-0.00915637435960062,-0.5372441582951278,1
0.433767,0.019731009903894675,-0.3526822062664478,0.17343996968963485,0.8416473762358088,-0.007860003971464509,-0.010175095563440859,-0.5398744130288288,1
0.467133,0.02002805994653452,-0.35296501468724784,0.17338749078485813,0.8392976122268607,-0.008472987116119358,-0.01031972222368986,-0.5435082611449858,1
0.5005,0.01318172533928266,-0.35358449228152383,0.18457931356964682,0.8380344335578815,-0.011278362345893116,-0.011438718145955009,-0.5453808233164168,1
0.533867,0.020937435953091995,-0.3457267187477131,0.18628922437664738,0.837392942191805,-0.012160558542656429,-0.013061663749269512,-0.5463099615816864,1
0.567233,0.019402443921019426,-0.34381657533026505,0.18720630166411678,0.8368508644166803,-0.012876717846581339,-0.014941273441135728,-0.5470754785315385,1
0.6006,0.019203454455250436,-0.3433815296293308,0.18715287756851,0.8358250677549016,-0.012965920613231803,-0.016046059094618537,-0.5486081160561675,1
0.633967,0.018759999958948094,-0.3418722268074619,0.18827516776519654,0.8349068775440208,-0.012591518996146885,-0.014402974074937713,-0.5500586457977547,1
0.667333,0.018153794535672455,-0.339723848452103,0.19017038859463398,0.8345391902813076,-0.012065799779668289,-0.012582745921935805,-0.5506727075726202,1
0.7007,0.01814859739105595,-0.33714858927742436,0.19283187740360078,0.8341126760876477,-0.011226665443274452,-0.010326809868347778,-0.5513831359144663,1
0.734067,0.0187706097119189,-0.33409273039778453,0.19679844138251132,0.833852245503834,-0.011768298289129463,-0.009245080927970745,-0.5517848025292352,1
0.767433,0.031964440294475836,-0.32181702289129077,0.2110040051444355,0.8336458771448022,-0.012548384780575156,-0.010397185522590157,-0.5520588628869941,1
0.8008,0.01904445325395849,-0.3291716586583403,0.21761514449595837,0.8317161430369451,-0.014073505355873341,-0.00961247429733774,-0.5549394509283232,1
0.834167,0.019675327779626064,-0.32852103504593555,0.22169103562262213,0.8297985795900285,-0.01530731464282123,-0.009036382445467858,-0.5577798375892553,1
0.867533,0.0329460655969903,-0.3185620785387816,0.22303796886189314,0.8276440996459362,-0.015577304924056842,-0.008889962816929659,-0.5609666304279464,1
0.9009,0.018830644565745187,-0.32604514745863555,0.22901283768429104,0.8267905619505538,-0.017157430402421982,-0.007525896680388433,-0.5621977855974084,1
0.934267,0.018753613867885207,-0.3262755176587496,0.23200483734846344,0.8250280882929687,-0.018215560249954202,-0.006140802317435749,-0.5647646743904295,1
0.967633,0.019158717007111414,-0.3260719641219634,0.23401422735322533,0.8235298733851107,-0.02033062101273487,-0.006809288777914144,-0.5668675745514811,1
1.001,0.01981184877845823,-0.32605711220808553,0.23484062842699602,0.8226613600748972,-0.021325667166393895,-0.007691053339552005,-0.5680795281104194,1
1.034367,0.020338627218081252,-0.3251898193964753,0.23487990224707067,0.8228708898515048,-0.022313185630389455,-0.00653946874688887,-0.5677524599070661,1
1.067733,0.02225424294729482,-0.3251097659149206,0.23513932135197635,0.8233242347970269,-0.023742882486678874,-0.004650017275094152,-0.567055426979105,1
1.1011,0.02367523343774055,-0.3249599610213639,0.23475027016813182,0.8243463621337294,-0.025931425342341167,-0.004124105721666379,-0.5654764611976324,1
1.134467,0.02512281618412491,-0.3241965852250143,0.2335761965637826,0.8249387613901874,-0.028576017347861308,-0.0044601342779798,-0.5644816723249575,1
1.167833,0.02656811246238782,-0.323831591513045,0.23278332219022496,0.8257533193590911,-0.031147447962897677,-0.0038009662442157624,-0.5631579216422795,1
1.2012,0.028303131715394003,-0.32361980797703616,0.2320413531843929,0.8264453550276882,-0.033485899886578095,-0.0017094977448849863,-0.5620176574445012,1
1.234567,0.03003383433602582,-0.3233146350235581,0.23146066581013242,0.8266164254457192,-0.03500093402988484,0.00021074027207147657,-0.5616762193549903,1
1.267933,0.032347647447925426,-0.3230743886948085,0.23089914274685858,0.8264647568536837,-0.037230881538438114,0.0016941804304896207,-0.5617535018950226,1
1.3013,0.03471311566564606,-0.32200061816360304,0.2304953422380266,0.8260108504578659,-0.03930969013046336,0.003966507483190398,-0.562267809861196,1
1.334667,0.0363908747620019,-0.32112891927524045,0.23030300439320997,0.826131514913175,-0.041797926415707114,0.006879344296956596,-0.5618828419133776,1
1.368033,0.038590112083887095,-0.3205402590258241,0.23044183879788852,0.8265128264228274,-0.04530658112006944,0.010392404844856446,-0.5609954183300432,1
1.4014,0.04121404178918958,-0.3198722191144541,0.23021398496976694,0.8263505673652434,-0.04823483799391634,0.01377991712846795,-0.5609173326817184,1
1.434767,0.04403893196466846,-0.31845588590044743,0.23039293812384906,0.8264888718485518,-0.051156997844550516,0.0165022035992851,-0.5603809271900756,1
