timestamp,x,y,z,q_x,q_y,q_z,q_w,ok
0.0,0.0026481523778866534,-0.2740410022392391,0.028543837589706578,-0.006040014765620199,-0.5384890144363791,0.8419826288636295,0.03253232615199189,1
0.033367,0.004862019143786017,-0.28237726378984,0.021015407122369933,-0.0046420056468447985,-0.5392689897549312,0.8414815942678896,0.032804496347925795,1
0.066733,0.004587320831217757,-0.28199105140560166,0.021078599307456314,-0.004280141706429199,-0.5389737646391102,0.8416628345390479,0.0330550203965048,1
0.1001,0.004368898747617981,-0.28209425146976663,0.021063549848370083,-0.004339800712545099,-0.5391364989494034,0.8415703858050192,0.032745799216790605,1
0.133467,0.005975720809871417,-0.27016701584886066,0.025833378408157748,-0.004145930602747901,-0.53841106765031,0.8421314486033263,0.030182060306642104,1
0.166833,0.005655240487414033,-0.27057777319746273,0.02580447285860879,-0.003383584099621,-0.5381082287125912,0.8424525074628524,0.026492606893070998,1
0.2002,0.004804218147641464,-0.2707177512441463,0.025585514425433775,-0.0009215634792354995,-0.5372632958621757,0.8430928428214026,0.0232757389440511,1
0.233567,0.003966474387137645,-0.27059970417337603,0.02539393837165385,0.0019587545396152995,-0.5365340606717116,0.8436459056728677,0.019721837165544296,1
0.266933,0.0038831588719150673,-0.2701715525905445,0.02514061645849952,0.0037187935267868994,-0.5350694157506464,0.8446050375537155,0.0181444603627025,1
0.3003,0.0043142259151753605,-0.2694758980955319,0.02544751978279297,0.004529317647404702,-0.533742898037743,0.8454460455836275,0.017860237482387905,1
0.333667,0.005170997901563294,-0.26781057461539537,0.02666215352392237,0.005174669218484101,-0.5335643284837782,0.8455278734001193,0.019103546047948308,1
0.367033,0.006069153806722882,-0.26558004674481916,0.028945299270943137,0.006711211571785299,-0.534736545815674,0.8447478437636934,0.0203191206736679,1
0.4004,0.007481011437641065,-0.26184322458443,0.03204332742902513,0.007051911875986901,-0.5374548196992371,0.8430598594253707,0.018511097931457603,1
0.433767,0.012226732203915427,-0.26636498143979903,0.033282349375840486,0.007368655393280799,-0.5394778375324943,0.8417712719564642,0.018179423471471,1
0.467133,0.013746882856122637,-0.26448895853331,0.04088929831945967,0.007623191760514999,-0.5401387317142987,0.8412846813763855,0.0207875523062436,1
0.5005,0.016115877601931748,-0.2631407636543351,0.04410404462041079,0.0071250505845914976,-0.5396662143757613,0.8415425351950876,0.022710618065705998,1
0.533867,0.01826398958440376,-0.2607378502653327,0.04803789157067076,0.005530891196408899,-0.5389281590118522,0.8419664623238801,0.024866141407128596,1
