t,gx,gy,gz,ax,ay,az
-1.274293964422919907e-03,-9.584664536741213658e-03,-3.407880724174654208e-02,-9.584664536741213658e-02,8.726618705035971146e+00,1.328537170263788925e+00,4.410071942446043280e+00
3.683740434548670069e-03,-2.129925452609158706e-02,-4.579339723109691201e-02,-6.389776357827475772e-02,8.760191846522781489e+00,1.366906474820143824e+00,4.117505995203837088e+00
8.641774833520261129e-03,-2.875399361022364098e-02,-4.259850905218317413e-02,-2.981895633652822258e-02,8.952038369304556653e+00,1.227817745803357230e+00,4.000000000000000000e+00
1.359980923249185132e-02,-2.555910543130990309e-02,-3.194888178913737886e-02,-5.324813631522896766e-03,9.175059952038369104e+00,1.129496402877697925e+00,3.676258992805755188e+00
1.855784363146344151e-02,-3.940362087326943624e-02,-8.519701810436635520e-03,3.194888178913737886e-03,9.067146282973620686e+00,1.254196642685851293e+00,3.709832134292565975e+00
2.351587803043503344e-02,-5.537806176783812567e-02,3.194888178913737886e-03,2.342917997870074681e-02,9.014388489208633004e+00,1.314148681055155921e+00,3.834532374100719565e+00
2.847391242940662190e-02,-6.283280085197018305e-02,5.324813631522896766e-03,6.283280085197018305e-02,9.158273381294964821e+00,1.170263788968824992e+00,3.642685851318944845e+00
3.343194682837821036e-02,-6.709265175718849561e-02,2.555910543130990309e-02,9.265175718849839870e-02,9.196642685851319499e+00,9.496402877697841527e-01,3.729016786570743314e+00
3.838998122734980228e-02,-6.070287539936101984e-02,4.366347177848775574e-02,1.096911608093716767e-01,9.045563549160672068e+00,9.064748201438849184e-01,3.832134292565947398e+00
4.334801562632139421e-02,-5.537806176783812567e-02,5.111821086261980618e-02,1.277955271565495154e-01,8.781774580335731883e+00,1.000000000000000000e+00,3.829736211031175230e+00
4.830605002529298614e-02,-5.537806176783812567e-02,6.815761448349308416e-02,1.533546325878594185e-01,8.577937649880096771e+00,9.568345323741007658e-01,4.028776978417266008e+00
5.326408442426457113e-02,-5.644302449414270728e-02,7.561235356762513460e-02,1.853035143769967974e-01,8.705035971223020752e+00,6.738609112709832427e-01,4.407673860911271113e+00
5.822211882323616305e-02,-5.111821086261980618e-02,6.496272630457934627e-02,1.948881789137380249e-01,8.872901678657074243e+00,3.645083932853717124e-01,4.532374100719424703e+00
6.318015322220774110e-02,-5.644302449414270728e-02,4.898828541001064990e-02,1.831735889243876481e-01,8.836930455635490844e+00,2.110311750599520308e-01,4.779376498800958828e+00
6.813818762117933303e-02,-5.005324813631523151e-02,2.662406815761448470e-02,1.640042598509052207e-01,8.685851318944843413e+00,3.069544364508393075e-01,4.683453237410072134e+00
7.309622202015092496e-02,-5.644302449414270728e-02,3.194888178913737886e-03,1.671991480298189447e-01,8.462829736211030962e+00,2.709832134292565753e-01,4.750599520383692820e+00
7.805425641912251689e-02,-4.366347177848775574e-02,-1.810436634717784918e-02,1.831735889243876481e-01,8.693045563549160804e+00,2.398081534772182090e-03,4.354916067146282543e+00
8.301229081809410881e-02,-5.111821086261980618e-02,-1.384451544195953142e-02,1.757188498402555976e-01,8.901678657074340251e+00,-2.589928057553956831e-01,4.235011990407674176e+00
8.797032521706570074e-02,-4.898828541001064990e-02,7.454739084132055646e-03,1.458998935037273681e-01,8.901678657074340251e+00,-2.997601918465228055e-01,4.374100719424460770e+00
9.292835961603729267e-02,-6.389776357827475772e-02,-9.584664536741213658e-03,1.150159744408945639e-01,9.146282973621103096e+00,-3.717026378896882699e-01,4.529976019184652536e+00
9.788639401500888459e-02,-8.519701810436634826e-02,-4.472843450479233041e-02,7.135250266240682204e-02,9.175059952038369104e+00,-3.261390887290168128e-01,4.083932853717026745e+00
1.028444284139804626e-01,-1.288604898828540901e-01,-4.579339723109691201e-02,2.981895633652822258e-02,8.870503597122302963e+00,-5.035971223021582649e-02,3.812949640287769615e+00
1.078024628129520546e-01,-1.608093716719914690e-01,-2.236421725239616520e-02,2.342917997870074681e-02,8.755395683453237154e+00,5.755395683453237710e-02,4.239808153477218511e+00
1.127604972119236465e-01,-1.448349307774227934e-01,-1.064962726304579353e-02,3.833865814696485463e-02,8.949640287769783598e+00,-1.079136690647481966e-01,3.954436450839328376e+00
1.177185316108952384e-01,-1.640042598509052207e-01,-1.171458998935037341e-02,3.088391906283280072e-02,8.997601918465226944e+00,-2.517985611510791255e-01,4.206235011990407280e+00
1.226765660098668304e-01,-1.576144834930777450e-01,-1.384451544195953142e-02,6.389776357827475772e-03,8.808153477218224836e+00,-5.035971223021582649e-02,3.851318944844124736e+00
1.276346004088384223e-01,-1.714589989350372712e-01,6.389776357827475772e-03,7.454739084132055646e-03,8.776978417266187549e+00,-2.398081534772182090e-03,4.294964028776978360e+00
1.325926348078100281e-01,-1.373801916932907430e-01,2.129925452609158706e-02,2.555910543130990309e-02,9.004796163069544335e+00,-1.318944844124700366e-01,4.486810551558752636e+00
1.375506692067816061e-01,-1.246006389776357776e-01,8.519701810436635520e-03,1.916932907348242732e-02,9.258992805755395850e+00,-2.901678657074340251e-01,4.613908872901678393e+00
1.425087036057532119e-01,-1.075612353567625135e-01,3.194888178913737886e-03,-9.584664536741213658e-03,8.764988009592325824e+00,-8.393285371702638442e-02,4.544364508393285540e+00
1.474667380047247900e-01,-7.987220447284344715e-02,1.384451544195953142e-02,-2.023429179978700893e-02,8.357314148681055599e+00,2.446043165467625957e-01,4.131894484412470092e+00
