frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,-0.000593373,0.002943590,0.005667833,0.010556940,0.009264247,-0.004248332,0.999892354
1,0.033367,2,false,false,0.003013498,-0.006433842,0.002954033,-0.008982850,-0.008733160,0.004224978,-0.999912620
2,0.066733,2,false,false,0.002777498,-0.006860494,0.002431058,-0.008791739,-0.008629925,0.004582538,-0.999913633
3,0.100100,2,false,false,-0.002240764,0.002273316,0.005253237,-0.010257192,-0.009201808,0.004975300,-0.999892712
4,0.133467,2,false,false,-0.001983033,0.002787607,0.004775707,-0.010267707,-0.008986350,0.004820401,-0.999895275
5,0.166833,2,false,false,-0.001633076,0.002823032,0.004688515,-0.009836815,-0.008391723,0.003808845,-0.999909163
6,0.200200,2,false,false,-0.001036909,0.002799747,0.005130406,-0.009624332,-0.008019152,0.002368451,-0.999918759
7,0.233567,2,false,false,-0.000848720,0.002986083,0.005507008,-0.009966521,-0.007652204,0.001832254,-0.999919415
8,0.266933,2,false,false,-0.000673181,0.003037825,0.005968187,-0.009798802,-0.007399388,0.001474377,-0.999923527
9,0.300300,2,false,false,-0.000519831,0.003083739,0.006170291,-0.009860052,-0.007219930,0.001012141,-0.999924839
10,0.333667,2,false,false,-0.000446713,0.003157942,0.006279371,-0.009976312,-0.007109747,0.000736606,-0.999924719
11,0.367033,2,false,false,-0.000583647,0.002989018,0.006672753,-0.009857512,-0.007204829,0.001112191,-0.999924898
12,0.400400,2,false,false,-0.000547485,0.002797707,0.006378028,-0.009866420,-0.007122722,0.001452604,-0.999924898
13,0.433767,2,false,false,-0.000434966,0.002630637,0.006026977,-0.009754558,-0.007195094,0.002103109,-0.999924302
14,0.467133,2,false,false,-0.000357702,0.002688274,0.005899291,-0.009716833,-0.007187791,0.002128327,-0.999924719
15,0.500500,2,false,false,0.000362056,0.001457935,0.005077419,0.009554291,0.007098034,-0.001047451,0.999928713
16,0.533867,2,false,false,0.000549198,0.001367475,0.005196094,0.009631296,0.007419690,-0.000253397,0.999926090
17,0.567233,2,false,false,0.000053066,0.001103583,0.005253565,0.008943005,0.008052633,-0.001589400,0.999926388
18,0.600600,2,false,false,-0.000683530,0.000761652,0.005294548,0.008621706,0.009001450,-0.003700959,0.999915540
19,0.633967,2,false,false,-0.001558233,0.001012128,0.004596479,0.010198046,0.010492351,-0.006844176,0.999869525
20,0.667333,2,false,false,-0.001908686,0.001279640,0.004113912,0.010667170,0.011175551,-0.008847709,0.999841571
21,0.700700,2,false,false,-0.000990810,0.001595857,0.006365672,-0.010806538,-0.011470143,0.009064210,-0.999834776
22,0.734067,2,false,false,-0.001209819,0.001849601,0.005349649,-0.010529851,-0.011883575,0.007471469,-0.999846101
23,0.767433,2,false,false,-0.001400234,0.001676878,0.004488709,-0.010444509,-0.012290197,0.005740590,-0.999853492
24,0.800800,2,false,false,-0.001797206,0.001746481,0.004020443,-0.011045815,-0.012672187,0.006245144,-0.999839246
25,0.834167,2,false,false,-0.002013071,0.001247336,0.003991962,-0.009053239,-0.012456524,0.004949751,-0.999869227
26,0.867533,2,false,false,-0.001816341,0.000561010,0.004298483,-0.007948913,-0.012111710,0.001810594,-0.999893427
27,0.900900,2,false,false,-0.001254968,-0.000613461,0.005469237,-0.004957593,-0.011545493,-0.001924747,-0.999919295
28,0.934267,2,false,false,-0.000926308,-0.002425146,0.005667365,-0.002404972,-0.010151494,-0.005594745,-0.999929965
29,0.967633,2,false,false,-0.000068602,-0.004008692,0.005161839,-0.004186571,-0.007277187,-0.008561750,-0.999928117
30,1.001000,2,false,false,0.000336996,-0.007180716,0.004279930,0.010203233,0.003932059,0.010770537,0.999882221
31,1.034367,2,false,false,0.000551102,-0.010344753,0.002653172,0.017972067,0.001774578,0.010380737,0.999783039
32,1.067733,2,false,false,0.000503003,-0.014059698,0.001158098,0.022636056,-0.000305106,0.008243532,0.999709785
