t,gx,gy,gz,ax,ay,az
-3.495131118915863087e-16,-6.389776357827475772e-03,-4.259850905218317760e-03,-3.514376996805111675e-02,8.858513189448441238e+00,6.187050359712230607e-01,4.211031175059951615e+00
4.955445544554106831e-03,-8.519701810436635520e-03,-1.064962726304579440e-03,-2.555910543130990309e-02,8.894484412470024637e+00,6.019184652278177783e-01,4.215827338129496837e+00
9.910891089108564075e-03,-1.064962726304579353e-02,-7.454739084132055646e-03,-2.023429179978700893e-02,8.956834532374100988e+00,5.923261390887289979e-01,4.249400479616307180e+00
1.486633663366302045e-02,-9.584664536741213658e-03,-8.519701810436635520e-03,-9.584664536741213658e-03,8.908872901678657641e+00,6.211031175059952281e-01,4.107913669064748419e+00
1.982178217821747510e-02,-1.277955271565495154e-02,-6.389776357827475772e-03,2.129925452609158880e-03,8.846522781774579514e+00,5.947242206235011652e-01,4.062350119904076351e+00
2.477722772277193147e-02,-1.277955271565495154e-02,1.064962726304579440e-03,1.171458998935037341e-02,8.853717026378896904e+00,4.940047961630695261e-01,4.035971223021582510e+00
2.973267326732638785e-02,-1.810436634717784918e-02,8.519701810436635520e-03,1.597444089456868943e-02,8.923261390887290645e+00,4.556354916067146266e-01,4.155875299760191766e+00
3.468811881188084423e-02,-1.810436634717784918e-02,6.389776357827475772e-03,1.277955271565495154e-02,8.940047961630694928e+00,4.724220623501199090e-01,4.199040767386090778e+00
3.964356435643530407e-02,-2.023429179978700893e-02,1.064962726304579440e-03,1.597444089456868943e-02,8.870503597122302963e+00,4.820143884892086339e-01,4.218225419664269005e+00
4.459900990098976392e-02,-1.703940362087327104e-02,-2.129925452609158880e-03,2.342917997870074681e-02,8.901678657074340251e+00,4.436450839328537343e-01,4.201438848920862945e+00
4.955445544554421683e-02,-1.916932907348242732e-02,-5.324813631522896766e-03,3.727369542066027996e-02,8.940047961630694928e+00,3.717026378896882699e-01,4.141486810551558762e+00
5.450990099009866974e-02,-2.236421725239616520e-02,-7.454739084132055646e-03,4.259850905218317413e-02,8.901678657074340251e+00,3.069544364508393075e-01,4.091127098321343247e+00
5.946534653465312958e-02,-2.023429179978700893e-02,-2.129925452609158880e-03,3.620873269435569836e-02,8.918465227817746310e+00,2.541966426858512929e-01,4.062350119904076351e+00
6.442079207920758943e-02,-2.342917997870074681e-02,3.194888178913737886e-03,2.981895633652822258e-02,8.916067146282973255e+00,2.661870503597122406e-01,4.086330935251798913e+00
6.937623762376203540e-02,-2.449414270500532495e-02,7.454739084132055646e-03,2.981895633652822258e-02,8.906474820143884585e+00,3.021582733812949728e-01,4.098321342925659749e+00
7.433168316831649525e-02,-2.236421725239616520e-02,9.584664536741213658e-03,3.301384451544196047e-02,8.906474820143884585e+00,2.853717026378896904e-01,4.196642685851318610e+00
7.928712871287095509e-02,-2.023429179978700893e-02,7.454739084132055646e-03,4.046858359957401785e-02,8.911270983213428920e+00,2.158273381294963933e-01,4.227817745803357674e+00
8.424257425742541494e-02,-1.810436634717784918e-02,2.129925452609158880e-03,4.366347177848775574e-02,8.908872901678657641e+00,1.294964028776978415e-01,4.215827338129496837e+00
8.919801980197987479e-02,-1.810436634717784918e-02,1.064962726304579440e-03,4.153354632587859252e-02,8.868105515587529908e+00,5.515587529976018893e-02,4.165467625899280435e+00
9.415346534653432076e-02,-2.023429179978700893e-02,1.064962726304579440e-03,3.301384451544196047e-02,8.836930455635490844e+00,2.398081534772182263e-02,4.165467625899280435e+00
9.910891089108878060e-02,-1.810436634717784918e-02,2.129925452609158880e-03,2.662406815761448470e-02,8.884892086330935967e+00,-1.918465227817745672e-02,4.148681055155875264e+00
1.040643564356432405e-01,-1.490947816826411129e-02,2.129925452609158880e-03,1.810436634717784918e-02,8.952038369304556653e+00,-5.515587529976018893e-02,4.182254196642685606e+00
1.090198019801976864e-01,-1.171458998935037341e-02,2.129925452609158880e-03,1.171458998935037341e-02,8.971223021582733992e+00,-1.247002398081534791e-01,4.208633093525179447e+00
1.139752475247521463e-01,-1.064962726304579353e-02,-3.194888178913737886e-03,3.194888178913737886e-03,9.009592326139088669e+00,-9.832134292565947176e-02,4.083932853717026745e+00
1.189306930693066061e-01,-1.384451544195953142e-02,-4.259850905218317760e-03,-7.454739084132055646e-03,8.944844124700239263e+00,-7.434052757793764565e-02,4.134292565947242259e+00
1.238861386138610660e-01,-8.519701810436635520e-03,0.000000000000000000e+00,-1.490947816826411129e-02,8.916067146282973255e+00,-8.633093525179856564e-02,4.067146282973620686e+00
1.288415841584155119e-01,-6.389776357827475772e-03,4.259850905218317760e-03,-2.449414270500532495e-02,8.916067146282973255e+00,-1.390887290167865664e-01,4.071942446043165909e+00
1.337970297029699718e-01,1.064962726304579440e-03,1.064962726304579353e-02,-3.194888178913737886e-02,8.940047961630694928e+00,-8.633093525179856564e-02,4.062350119904076351e+00
1.387524752475244039e-01,3.194888178913737886e-03,1.277955271565495154e-02,-3.940362087326943624e-02,9.011990407673861725e+00,-4.796163069544364180e-03,4.088729016786571080e+00
1.437079207920788637e-01,9.584664536741213658e-03,1.171458998935037341e-02,-3.407880724174654208e-02,9.038369304556354678e+00,5.275779376498800771e-02,4.110311750599520586e+00
1.486633663366333236e-01,2.023429179978700893e-02,1.703940362087327104e-02,-2.875399361022364098e-02,9.043165467625899012e+00,0.000000000000000000e+00,3.952038369304556209e+00
1.536188118811877834e-01,1.703940362087327104e-02,2.449414270500532495e-02,-4.259850905218317413e-02,9.026378896882494729e+00,-1.318944844124700366e-01,3.968824940047961825e+00
1.585742574257422433e-01,1.490947816826411129e-02,3.088391906283280072e-02,-6.283280085197018305e-02,8.937649880095923649e+00,-7.194244604316546443e-02,4.023980815347721673e+00
1.635297029702967031e-01,2.023429179978700893e-02,3.620873269435569836e-02,-7.880724174653887248e-02,8.827338129496402175e+00,7.673860911270982688e-02,4.153477218225419598e+00
1.684851485148511629e-01,2.768903088391906284e-02,3.833865814696485463e-02,-7.880724174653887248e-02,8.707434052757793808e+00,1.822541966426858562e-01,4.136690647482014427e+00
1.734405940594056228e-01,2.236421725239616520e-02,4.259850905218317413e-02,-7.454739084132055993e-02,8.800959232613909222e+00,2.158273381294963933e-01,4.359712230215827766e+00
1.783960396039600826e-01,2.342917997870074681e-02,3.514376996805111675e-02,-7.348242811501597138e-02,8.906474820143884585e+00,1.990407673860911386e-01,4.438848920863309289e+00
1.833514851485145147e-01,1.916932907348242732e-02,2.023429179978700893e-02,-8.093716719914803570e-02,8.872901678657074243e+00,2.134292565947242259e-01,4.398081534772182444e+00
