t,gx,gy,gz,ax,ay,az
-1.415841093429367039e-03,-2.023429179978700754e-01,6.389776357827475772e-02,-2.960596379126730349e-01,8.959232613908872267e+00,7.314148681055155921e-01,4.342925659472421707e+00
3.542031343601054032e-03,-2.055378061767837994e-01,6.496272630457934627e-02,-2.843450479233226580e-01,8.949640287769783598e+00,8.513189448441247364e-01,3.966426858513189657e+00
8.499903780631474018e-03,-2.566560170394036056e-01,6.176783812566560145e-02,-2.747603833865814860e-01,9.309352517985612252e+00,7.961630695443645545e-01,4.755395683453237154e+00
1.345777621766189487e-02,-2.428115015974440793e-01,5.218317358892438779e-02,-2.736954206602769113e-01,8.863309352517985573e+00,1.098321342925659527e+00,4.407673860911271113e+00
1.841564865469231746e-02,-3.013844515441959637e-01,1.597444089456868943e-02,-2.438764643237486818e-01,8.318944844124700921e+00,1.031175059952038398e+00,4.872901678657074243e+00
2.337352109172273831e-02,-2.832800851970180833e-01,-1.916932907348242732e-02,-2.140575079872204523e-01,8.676258992805754744e+00,8.057553956834532238e-01,3.848920863309352569e+00
2.833139352875315917e-02,-3.162939297124600646e-01,8.519701810436635520e-03,-2.215122470713525027e-01,8.741007194244604150e+00,6.642685851318944623e-01,3.932853717026378870e+00
3.328926596578357655e-02,-3.088391906283279864e-01,4.579339723109691201e-02,-2.289669861554845531e-01,8.776978417266187549e+00,8.201438848920863389e-01,4.623501199040767062e+00
3.824713840281399740e-02,-2.843450479233226580e-01,2.342917997870074681e-02,-2.002129925452609260e-01,8.709832134292565087e+00,9.520383693045563200e-01,4.527577937649880369e+00
4.320501083984441826e-02,-2.768903088391906353e-01,-1.171458998935037341e-02,-1.544195953141639932e-01,8.748201438848921541e+00,7.961630695443645545e-01,4.714628297362110310e+00
4.816288327687483911e-02,-2.183173588924387509e-01,-3.194888178913737886e-03,-1.224707135250266282e-01,8.544364508393284652e+00,9.040767386091127511e-01,4.220623501199041172e+00
5.312075571390525996e-02,-2.076677316293929765e-01,2.129925452609158880e-03,-8.626198083067092293e-02,8.565947242206235046e+00,8.153477218225420042e-01,5.021582733812949506e+00
5.807862815093568082e-02,-1.437699680511182188e-01,-3.194888178913737886e-02,-5.963791267305644517e-02,8.889688249400480302e+00,6.498800959232613472e-01,4.256594724220623682e+00
6.303650058796610167e-02,-1.490947816826411199e-01,-4.685835995740149362e-02,-5.963791267305644517e-02,9.057553956834532016e+00,5.635491606714628787e-01,4.249400479616307180e+00
6.799437302499652946e-02,-1.160809371671991524e-01,-3.514376996805111675e-02,-6.602768903088392094e-02,8.865707434052758629e+00,9.328537170263788703e-01,4.079136690647482411e+00
7.295224546202695726e-02,-9.797657082002129980e-02,-2.875399361022364098e-02,-2.449414270500532495e-02,8.817745803357313505e+00,1.119904076738609033e+00,4.081534772182254578e+00
7.791011789905737117e-02,-7.135250266240682204e-02,-2.342917997870074681e-02,4.472843450479233041e-02,8.918465227817746310e+00,8.489208633093525691e-01,4.002398081534772167e+00
8.286799033608778509e-02,-4.153354632587859252e-02,-2.129925452609158880e-03,8.839190628328008614e-02,9.000000000000000000e+00,5.683453237410072134e-01,3.812949640287769615e+00
8.782586277311821288e-02,-3.620873269435569836e-02,8.519701810436635520e-03,9.691160809371672513e-02,8.836930455635490844e+00,4.460431654676259017e-01,4.364508393285372101e+00
9.278373521014864067e-02,1.171458998935037341e-02,4.259850905218317760e-03,1.043663471778487756e-01,8.892086330935251581e+00,4.556354916067146266e-01,3.882494004796162912e+00
9.774160764717905459e-02,-9.584664536741213658e-03,1.171458998935037341e-02,9.691160809371672513e-02,8.956834532374100988e+00,4.772182254196642437e-01,4.023980815347721673e+00
1.026994800842094685e-01,-2.555910543130990309e-02,1.703940362087327104e-02,9.158679446219382403e-02,8.884892086330935967e+00,4.916067146282973588e-01,4.254196642685851515e+00
1.076573525212398963e-01,-2.129925452609158706e-02,1.703940362087327104e-02,1.075612353567625135e-01,9.136690647482014427e+00,2.949640287769784153e-01,4.122302158273381423e+00
1.126152249582703241e-01,-2.555910543130990309e-02,2.662406815761448470e-02,1.033013844515442009e-01,9.052757793764987682e+00,1.486810551558752913e-01,4.095923261390887582e+00
1.175730973953007380e-01,-3.088391906283280072e-02,4.046858359957401785e-02,8.200212992545261037e-02,8.822541966426857840e+00,1.798561151079136611e-01,4.206235011990407280e+00
1.225309698323311519e-01,-2.875399361022364098e-02,3.940362087326943624e-02,7.667731629392970927e-02,8.721822541966426812e+00,2.134292565947242259e-01,4.287769784172661858e+00
1.274888422693615520e-01,-1.810436634717784918e-02,2.875399361022364098e-02,7.987220447284344715e-02,8.671462829736210409e+00,5.035971223021582649e-02,4.194244604316546443e+00
1.324467147063919936e-01,-1.597444089456868943e-02,2.768903088391906284e-02,7.454739084132055993e-02,8.769784172661870159e+00,-1.223021582733812979e-01,4.225419664268585507e+00
1.374045871434224075e-01,-1.703940362087327104e-02,2.023429179978700893e-02,5.963791267305644517e-02,8.935251798561150594e+00,-1.582733812949640162e-01,4.292565947242206192e+00
1.423624595804528215e-01,-2.129925452609158706e-02,2.129925452609158880e-03,4.366347177848775574e-02,8.971223021582733992e+00,-1.247002398081534791e-01,4.304556354916067029e+00
1.473203320174832631e-01,-2.449414270500532495e-02,-5.324813631522896766e-03,3.620873269435569836e-02,9.038369304556354678e+00,-1.870503597122302186e-01,4.170263788968824770e+00
